"Icon","Title","Description","Description (Lv 1)","Description (Lv 2)","Description (Lv 3)","Description (Lv 4)","Description (Lv 5)","Description (Lv 6)","Description (Lv 7)","Other Info","Obtained From","Max Level","Ingredients"
"","Attack Boost","","Attack +3","Attack +5","Attack +7","Attack +2% Bonus: +8","Attack +4% Bonus: +9","","","","A Aerial Glaive Insect Glaive Attack Jewel II [2] Weapon Decorations Attack Jewel III [3] Weapon Decorations Attack Jewel [1] Weapon Decorations B Bone Axe II Switch Axe Bone Axe III Switch Axe Bone Axe IV Switch Axe Bone Blade II Great Sword Bone Blade III Great Sword Bone Blade IV Great Sword Bone Bludgeon II Hammer Bone Bludgeon III Hammer Bone Bludgeon IV Hammer Bone Gunlance II Gunlance Bone Gunlance III Gunlance Bone Gunlance IV Gunlance Bone Hatchets II Dual Blades Bone Hatchets III Dual Blades Bone Hatchets IV Dual Blades Bone Horn II Hunting Horn Bone Horn III Hunting Horn Bone Horn IV Hunting Horn Bone Kukri II Sword and Shield Bone Kukri III Sword and Shield Bone Kukri IV Sword and Shield Bone Lance II Lance Bone Lance III Lance Bone Lance IV Lance Bone Shooter II Heavy Bowgun Bone Shooter III Heavy Bowgun Bone Shooter IV Heavy Bowgun Bone Shotel II Long Sword Bone Shotel III Long Sword Bone Shotel IV Long Sword Bone Slasher Great Sword Bone Smasher Switch Axe Bone Staff II Insect Glaive Bone Staff III Insect Glaive Bone Staff IV Insect Glaive Bone Strongarm II Charge Blade Bone Strongarm III Charge Blade Bone Strongarm IV Charge Blade C Chief Kukri Sword and Shield G Great Bone Gunlance Gunlance H Hard Bone Lance Lance Hard Bone Shotel Long Sword Hard Bone Strongarm Charge Blade Hardened Bone Horn Hunting Horn Heavy Bone Bludgeon Hammer Heavy Shooter Heavy Bowgun Hunter's Bow II Bow Hunter's Bow III Bow Hunter's Bow IV Bow Hunter's Rifle II Light Bowgun Hunter's Rifle III Light Bowgun Hunter's Rifle IV Light Bowgun Hunter's Stoutbow Bow P Power Rifle Light Bowgun W Wild Hatchets Dual Blades","5",""
"","Balanced Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
,,,,,,,,,,,,,
"","Ballistics","","Slightly extends range.","Extends range.","Greatly extends range.","","","","","","Albirath Bow I Bow Albirath Bow II Bow Dosha Griefbringer I Bow Dosha Griefbringer II Bow Esperanza Bow Bow Esperanza Cannon Heavy Bowgun Esperanza Rifle Light Bowgun G. Rathling Gun I Light Bowgun G. Rathling Gun II Light Bowgun Griefbringer Urstox Bow Hope Bow II Bow Hope Bow III Bow Hope Bow IV Bow Hope Bow V Bow Hope Cannon II Heavy Bowgun Hope Cannon III Heavy Bowgun Hope Cannon IV Heavy Bowgun Hope Cannon V Heavy Bowgun Hope Rifle II Light Bowgun Hope Rifle III Light Bowgun Hope Rifle IV Light Bowgun Hope Rifle V Light Bowgun Kut-Ku Anger I Light Bowgun Kut-Ku Anger II Light Bowgun Kut-Ku Counterattack Light Bowgun Precise Jewel II [2] Weapon Decorations Precise Jewel III [3] Weapon Decorations Precise Jewel [1] Weapon Decorations Solar Spicule Bow White Rathling Phoenix Light Bowgun","3",""
"","Bind Resistance","","Allows you to quickly recover from webbed status or frostblight.…","Allows you to very quickly recover from webbed status or frostblight.…","Prevents webbed status and frostblight.","","","","","","Battle Coil α Waist Battle α Armor Sets Dahaad Shardmail α Chest Dahaad Shardmail β Chest Dahaad α Armor Sets Dahaad β Armor Sets Escape Charm I Level 1 Escape Charm II Level 2 Escape Charm III Level 3 Escape Jewel [1] Armor Decorations Nerscylla Armor Sets Nerscylla Coil Waist Nerscylla Coil α Waist Nerscylla Coil β Waist Nerscylla Helm α Head Nerscylla Helm β Head Nerscylla Mail Chest Nerscylla α Armor Sets Nerscylla β Armor Sets","3",""
"","Black Belt Meal (Hi)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Greatly reduces stamina depletion when performing stamina-draining…","","","","","","","","","","Delishroom Ingredients"
"","Black Belt Meal (Lo)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Reduces stamina depletion when performing stamina-draining moves…","","","","","","","","","","Droolshroom Ingredients"
"","Blangonga's Spirit","","Using the <BOLD>To Victory!</BOLD> gesture moderately increases…","Using the <BOLD>To Victory!</BOLD> gesture increases attack temporarily…","","","","","","","Blango Coil α Waist Blango Coil β Waist Blango Greaves α Legs Blango Greaves β Legs Blango Helm α Head Blango Helm β Head Blango Mail α Chest Blango Mail β Chest Blango Vambraces α Arms Blango Vambraces β Arms Blango α Armor Sets Blango β Armor Sets","2",""
"","Blast Attack","","Blast buildup +5% Bonus: +10","Blast buildup +10% Bonus: +20","Blast buildup +20% Bonus: +50","","","","","","Blast Jewel II [2] Weapon Decorations Blast Jewel III [3] Weapon Decorations Blast Jewel [1] Weapon Decorations","3",""
"","Blast Functionality","","Lets you use blast coatings.","","","","","","","","Blastcoat Jewel [2] Weapon Decorations","1",""
"","Blast Resistance","","Delays blastblight and reduces blast damage.","Greatly delays blastblight and greatly reduces blast damage.…","Prevents blastblight.","","","","","","Ajarakan Armor Sets Ajarakan Coil Waist Ajarakan Coil α Waist Ajarakan Coil β Waist Ajarakan Greaves Legs Ajarakan Mail α Chest Ajarakan α Armor Sets Ajarakan β Armor Sets Antiblast Jewel [1] Armor Decorations Blast Charm I Level 1 Blast Charm II Level 2 Blast Charm III Level 3 High Metal Braces α Arms High Metal α Armor Sets","3",""
"","Bleeding Resistance","","Reduces damage while bleeding.","Greatly reduces damage while bleeding.","Prevents bleeding.","","","","","","Bleed Charm I Level 1 Bleed Charm II Level 2 Bleed Charm III Level 3 G. Ebony Coil Waist G. Ebony Coil α Waist G. Ebony Greaves Legs G. Ebony Mail Chest G. Ebony Mail α Chest Guardian Ebony Armor Sets Guardian Ebony α Armor Sets High Metal Greaves α Legs High Metal α Armor Sets Melahoa Folia α Waist Melahoa α Armor Sets Suture Jewel [1] Armor Decorations","3",""
"","Blight Resistance","","Reduces the duration of all elemental blights by 50%.","Reduces the duration of all elemental blights by 75%.","Nullifies all elemental blights.","","","","","","Artian Vambraces α Arms Artian α Armor Sets Blight Charm I Level 1 Blight Charm II Level 2 Expedition Headgear α Armor Sets Expedition Headgear α Head G. Arkveld Coil Waist G. Arkveld Greaves Legs G. Arkveld Mail Chest G. Arkveld Mail α Chest G. Arkveld Mail β Chest G. Arkveld Vambraces α Arms Guardian Arkveld Armor Sets Guardian Arkveld α Armor Sets Guardian Arkveld β Armor Sets","3",""
"","Blindsider","","Improves the effectiveness of flash attacks and items.","","","","","","","","Flash Jewel [1] Armor Decorations Gypceros Helm α Head Gypceros α Armor Sets","1",""
"","Bludgeoner","","#ERROR!","#ERROR!","#ERROR!","","","","","","Blunt Jewel II [2] Weapon Decorations Blunt Jewel III [3] Weapon Decorations Blunt Jewel [1] Weapon Decorations","3",""
,,,,,,,,,,,,,
"","Bombardier","","Explosive power +10%","Explosive power +20%","Explosive power +30%","","","","","","Ajarakan Armor Sets Ajarakan Coil Waist Ajarakan Helm Head Ajarakan Helm α Head Ajarakan Helm β Head Ajarakan Vambraces Arms Ajarakan Vambraces α Arms Ajarakan Vambraces β Arms Ajarakan α Armor Sets Ajarakan β Armor Sets Bombardier Charm I Level 1 Bombardier Charm II Level 2 Bombardier Charm III Level 3 Bomber Jewel [1] Armor Decorations High Metal Coil α Waist High Metal α Armor Sets","3",""
"","Botanist","","One extra consumable herb item per gather.","Additionally adds one extra consumable fruit, nut, or seed item…","Additionally adds one extra consumable insect item per gather.…","Additionally adds one extra consumable mushroom item per gather.…","","","","","Botany Charm I Level 1 Botany Charm II Level 2 Botany Charm III Level 3 Botany Charm IV Level 4 Botany Jewel [1] Armor Decorations Leather Armor Sets Leather Belt Waist Leather Gloves α Arms Leather Headgear Head Leather Headgear α Head Leather Mail α Chest Leather Pants Legs Leather Vest Chest Leather α Armor Sets Sild Hood α Head Sild α Armor Sets","4",""
"","Break-time Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Bulldozer Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Burst","","On first hit, gain a small temporary attack and element boost,…","Hit 5 successive times for a moderate stat boost.","Hit 5 successive times for a bigger stat boost.","Hit 5 successive times for an even bigger stat boost.","Hit 5 successive times for a huge stat boost.","","","","Chain Charm I Level 1 Chain Charm II Level 2 Chain Jewel [3] Armor Decorations Conga Greaves α Legs Conga Greaves β Legs Conga Mail α Chest Conga α Armor Sets Conga β Armor Sets G. Ebony Braces Arms G. Ebony Braces α Arms G. Ebony Braces β Arms G. Ebony Coil Waist G. Ebony Coil α Waist G. Ebony Coil β Waist G. Ebony Helm Head G. Ebony Helm α Head G. Ebony Helm β Head Guardian Ebony Armor Sets Guardian Ebony α Armor Sets Guardian Ebony β Armor Sets Nu Udra α Armor Sets Nu Udra β Armor Sets Talioth Vambraces α Arms Talioth α Armor Sets Udra Miregreaves α Legs Udra Miregreaves β Legs Udra Miremail α Chest","5",""
"","Buttery Leathercraft","","Increases your affinity temporarily when sliding on terrain.…","","","","","","","","Chatacabra Coil β Waist Chatacabra Greaves β Legs Chatacabra Helm β Head Chatacabra Mail β Chest Chatacabra Vambraces β Arms Chatacabra β Armor Sets Gypceros Coil β Waist Gypceros Greaves β Legs Gypceros Helm β Head Gypceros Mail β Chest Gypceros Vambraces β Arms Gypceros β Armor Sets Piragill Greaves β Legs Piragill β Armor Sets Rompopolo Coil β Waist Rompopolo Greaves β Legs Rompopolo Helm β Head Rompopolo Mail β Chest Rompopolo Vambraces β Arms Rompopolo β Armor Sets Talioth Vambraces β Arms Talioth β Armor Sets Xu Wu Coil β Waist Xu Wu Greaves β Legs Xu Wu Helm β Head Xu Wu Mail β Chest Xu Wu Vambraces β Arms Xu Wu β Armor Sets","1",""
"","Caprice Meal (Hi)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Repeatedly activates a large temporary attack boost at random…","","","","","","","","","","Airy Egg Ingredients"
"","Caprice Meal (Lo)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Repeatedly activates a temporary attack boost at random intervals.…","","","","","","","","","","Fluffy Egg Ingredients"
"","Capture Pro Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Carver Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Charge Master","","Slightly increases elemental damage and status buildup for charged…","Increases elemental damage and status buildup for charged attacks.…","Greatly increases elemental damage and status buildup for charged…","","","","","","Charge Jewel II [2] Weapon Decorations Charge Jewel III [3] Weapon Decorations Charge Jewel [1] Weapon Decorations Charge/Handicraft Jwl [3] Weapon Decorations Charge/KO Jewel [3] Weapon Decorations Chicken Decapitator I Great Sword Chicken Decapitator II Great Sword Cluster Hammer I Hammer Cluster Hammer II Hammer Cluster Hammer III Hammer Graviton Hammer Hammer Halilintar Clairglaive Insect Glaive Kut-Ku Pick I Hammer Kut-Ku Pick II Hammer Kut-Ku Stave I Bow Kut-Ku Stave II Bow Kut-Ku Thwap Hammer Nerscrapper Hammer Nershock Bow Rey Halilintar I Insect Glaive Rey Halilintar II Insect Glaive Rey Halilintar III Insect Glaive Rooster Decapitator Great Sword Scylla Fist I Bow Scylla Fist II Bow Scylla Fist III Bow Shell Hammer I Hammer Stealth Glaive I Insect Glaive Stealth Glaive II Insect Glaive Stealth Glaive III Insect Glaive Stealth Glaive Redux Insect Glaive Strange Kut-Ku Stave Bow Wild Power Bow II Bow Wildwood Kalifa Bow","3",""
"","Charge Up","","Activates skill effect.","","","","","","","","Charge Up Jewel [2] Weapon Decorations Charge Up/Attack Jwl [3] Weapon Decorations Charge Up/Draw Jwl [3] Weapon Decorations Charge Up/Expert Jwl [3] Weapon Decorations Charge Up/Handicraft Jwl [3] Weapon Decorations Charge Up/KO Jewel [3] Weapon Decorations Chata Clobberer I Hammer Chata Clobberer II Hammer Chata Clobberer III Hammer Chata Clobberer IV Hammer Death Venom Hammer Hammer Shrouded Aghaturi Hammer Venom Monster I Hammer Venom Monster II Hammer","1",""
,,,,,,,,,,,,,
"","Cliffhanger","","Reduces stamina depletion while climbing by 50%.","","","","","","","","Ajarakan Armor Sets Ajarakan Vambraces Arms Climber Jewel [1] Armor Decorations","1",""
"","Coalescence","","When active, grants a slight increase to elemental damage and…","When active, grants an increase to elemental damage and status…","When active, grants a large increase to elemental damage and…","","","","","","Expedition Headgear α Armor Sets Expedition Headgear α Head G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs G. Fulgur Helm α Head G. Fulgur Mail α Chest Gore Helm α Head Gore Helm β Head Gore α Armor Sets Gore β Armor Sets Guardian Fulgur α Armor Sets Guardian Fulgur β Armor Sets Phoenix Charm I Level 1 Phoenix Charm II Level 2 Phoenix Jewel [2] Armor Decorations","3",""
"","Constitution","","Reduces fixed stamina depletion by 10%.","Reduces fixed stamina depletion by 20%.","Reduces fixed stamina depletion by 30%.","Reduces fixed stamina depletion by 40%.","Reduces fixed stamina depletion by 50%.","","","","B Battle Greaves α Legs Battle α Armor Sets Butterfly Brachia α Arms Butterfly Crura α Legs Butterfly Elytra α Waist Butterfly Thorax α Chest Butterfly Vertex α Head Butterfly α Armor Sets D Dober Coil α Waist Dober Greaves α Legs Dober Helm α Head Dober Mail α Chest Dober Vambraces α Arms Dober α Armor Sets F Fitness Charm I Level 1 Fitness Charm II Level 2 Fitness Charm III Level 3 Fitness Charm IV Level 4 G G. Doshaguma Greaves α Legs G. Doshaguma Greaves β Legs G. Doshaguma Mail α Chest G. Doshaguma Mail β Chest Gore Coil α Waist Gore Coil β Waist Gore Vambraces α Arms Gore Vambraces β Arms Gore α Armor Sets Gore β Armor Sets Guardian Doshaguma α Armor Sets Guardian Doshaguma β Armor Sets Guild Ace Boots α Legs Guild Ace Coil α Waist Guild Ace Earrings α Head Guild Ace Mail α Chest Guild Ace Vambraces α Arms Guild Ace α Armor Sets K Kut-Ku Greaves α Legs Kut-Ku Greaves β Legs Kut-Ku Helm α Head Kut-Ku Helm β Head Kut-Ku Vambraces α Arms Kut-Ku Vambraces β Arms Kut-Ku α Armor Sets Kut-Ku β Armor Sets P Physique Jewel [1] Armor Decorations R Rathalos Helm α Head Rathalos Helm β Head Rathalos Mail α Chest Rathalos Vambraces α Arms Rathalos Vambraces β Arms Rathalos α Armor Sets Rathalos β Armor Sets Rey Dau Armor Sets Rey Sandcoil Waist Rey Sandgreaves Legs Rey Sandmail Chest","5",""
"","Convert Element","","While active, deals extra dragon damage after dealing enough…","Increases additional dragon damage and increases dragon attack.…","Further increases additional dragon damage and greatly increases…","","","","","","Arkveld α Armor Sets Arkveld β Armor Sets Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs Arkvulcan Helm α Head Arkvulcan Helm β Head Arkvulcan Vambraces α Arms Arkvulcan Vambraces β Arms Convert Charm I Level 1","3",""
"","Counterstrike","","Attack +10 while active.","Attack +15 while active. Moderately extends effect time.","Attack +25 while active. Extends effect time.","","","","","","Blango Greaves α Legs Blango Helm α Head Blango Vambraces α Arms Blango Vambraces β Arms Blango α Armor Sets Blango β Armor Sets Counter Charm I Level 1 Counter Charm II Level 2 Counter Charm III Level 3 Counter Jewel [2] Armor Decorations Dragonking Eyepatch α Head Dragonking α Armor Sets Nu Udra α Armor Sets Nu Udra β Armor Sets Udra Mirebraces α Arms Udra Mirebraces β Arms Udra Mirehelm α Head Udra Mirehelm β Head","3",""
"","Critical Boost","","Increases damage dealt by critical hits to 28%.","Increases damage dealt by critical hits to 31%.","Increases damage dealt by critical hits to 34%.","Increases damage dealt by critical hits to 37%.","Increases damage dealt by critical hits to 40%.","","","","Axelion Blade I Charge Blade Bardichion Blade Charge Blade Corona Sword and Shield Crimson Rook Gunlance Critical Jewel II [2] Weapon Decorations Critical Jewel III [3] Weapon Decorations Critical Jewel [1] Weapon Decorations Dark Filament Bow Firedance Rathmaul Insect Glaive Flame Feroce I Hunting Horn Heat Edge I Sword and Shield Huracan Hammer Hammer Prominence Bow I Bow Rath Blaze Splitter Switch Axe Rath Flamesplitter I Switch Axe Rathalos Feroce Hunting Horn Rathalos Firesword Great Sword Rathling Gun I Light Bowgun Rathling Phoenix Light Bowgun Rathmaul I Insect Glaive Red Bludgeon I Hammer Red Rook I Gunlance Red Tail I Lance Red Wing I Great Sword Spear of Prominence Lance Twin Flames I Dual Blades Wyvern Blade ""Blood"" I Long Sword Wyvern Blade ""Maple"" Long Sword Wyvern Lovers Dual Blades","5",""
"","Critical Draw","","Affinity +50%","Affinity +75%","Affinity +100%","","","","","","B Babel Spear Lance Barina Bouclier I Charge Blade Barina Bouclier II Charge Blade Barina Bouclier III Charge Blade Barina Bouclier IV Charge Blade Barina Dague I Sword and Shield Barina Dague II Sword and Shield Barina Dague III Sword and Shield Barina Dague IV Sword and Shield Barina Faucilles I Dual Blades Barina Faucilles II Dual Blades Barina Faucilles III Dual Blades Barina Faucilles IV Dual Blades Barina Flamberge I Long Sword Barina Flamberge II Long Sword Barina Flamberge III Long Sword Barina Flamberge IV Long Sword Barina Hache I Switch Axe Barina Hache II Switch Axe Barina Hache III Switch Axe Barina Hache IV Switch Axe Barina Perche I Insect Glaive Barina Perche II Insect Glaive Barina Perche III Insect Glaive Barina Perche IV Insect Glaive Barina Sarissa I Lance Barina Sarissa II Lance Barina Sarissa III Lance Barina Sarissa IV Lance Big Slugger Gunlance Blanberge I Long Sword Blangongaberge Long Sword Buster Sword I Great Sword Buster Sword II Great Sword Buster Sword III Great Sword C Chrome Gale Insect Glaive Crazed Melody Hunting Horn D Death Venom Hammer Hammer Draw Jewel II [2] Weapon Decorations Draw Jewel III [3] Weapon Decorations Draw Jewel [1] Weapon Decorations F Funky Maracas Dual Blades G Golba Vandal I Switch Axe Golba Vandal II Switch Axe Great Bagpipe Hunting Horn Gundava Vandal Switch Axe H Hard Hitter I Gunlance Hard Hitter II Gunlance I Iron Devil Hammer Iron Gale I Insect Glaive Iron Gale II Insect Glaive Iron Gale III Insect Glaive Iron Hammer I Hammer Iron Hammer II Hammer Iron Hammer III Hammer Iron Katana I Long Sword Iron Katana II Long Sword Iron Katana III Long Sword K Keen Edge Long Sword L Lala Acanthopelm Sword and Shield Lala Aviculari Lance Lala Eumenophor Charge Blade Lala Harpactirs Dual Blades Lala Ornithocton Long Sword Lala Selenocosmi Switch Axe Lala Stromatopelm Insect Glaive M Metal Bagpipe I Hunting Horn Metal Bagpipe II Hunting Horn Metal Bagpipe III Hunting Horn N Nihil Great Sword I Great Sword Nihil Great Sword II Great Sword P Paladin Lance I Lance Pink Maracas I Dual Blades Pink Maracas II Dual Blades Poison Blade I Charge Blade Poison Blade II Charge Blade Poison King Great Sword Poisoned Capri I Hunting Horn Poisoned Capri II Hunting Horn Prinvrilo's Dissolution Great Sword R Ravager Blade Great Sword S Shell Gunberd I Gunlance Shell Gunberd II Gunlance Shell Gunberd III Gunlance Slaughter I Great Sword Slaughter II Great Sword Snow Lion Jambiya Sword and Shield Snow-white Jambiya I Sword and Shield Solid Gunberd Gunlance V Venom Monster I Hammer Venom Monster II Hammer Venom's Kiss Charge Blade Venom's Pain I Sword and Shield Venom's Pain II Sword and Shield Viperine Saber Sword and Shield","3",""
