"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"Arkvulcan Vambraces α","Arkveld α Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Fortifying Pelt Convert Element Recovery Speed","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Arkveld Certificate S 3× Arkveld Calloushell 2× Arkveld Horn+ 1× Wyvern Gem","Arkveld"
"Arkvulcan Vambraces β","Arkveld β Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Alluring Pelt Convert Element","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Arkveld Certificate S 3× Arkveld Calloushell 2× Arkveld Horn+ 1× Wyvern Gem","Arkveld"
"Artian Coil α","Artian α Armor Sets","Rarity 6","4,000 z","Guardian's Protection Flayer Windproof","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gracium 2× Frenzy Shard 1× Firecell Stone","What We Protect Side Missions"
"","","","","","","","","","",""
"Artian Greaves α","Artian α Armor Sets","Rarity 6","4,000 z","Guardian's Protection Flayer Tremor Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gracium 1× Frenzy Crystal 3× Guardian Blood+","What We Protect Side Missions"
"Artian Helm α","Artian α Armor Sets","Rarity 6","4,000 z","Guardian's Protection Flayer Earplugs","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gracium 1× Frenzy Crystal 1× Novacrystal","What We Protect Side Missions"
"Artian Mail α","Artian α Armor Sets","Rarity 6","4,000 z","Guardian's Protection Flayer Adaptability","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gracium 2× Frenzy Shard 10× Earth Crystal","What We Protect Side Missions"
"Artian Vambraces α","Artian α Armor Sets","Rarity 6","4,000 z","Guardian's Protection Flayer Blight Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gracium 1× Frenzy Crystal 1× Dragonbone Relic","What We Protect Side Missions"
"Azuz Apron α","Azuz α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Heroics","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Azuz Tanned Leather 1× Firecell Stone","Azuz Tanned Leather"
"Azuz Headdress α","Azuz α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Maximum Might","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Azuz Tanned Leather 2× Charred Oilbone","Azuz Tanned Leather"
"Azuz Pants α","Azuz α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Geologist","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Azuz Tanned Leather 2× Firestone","Azuz Tanned Leather"
"Balahara Coil","Balahara Large Monsters","Rarity 2","400 z","Scaling Prowess Evade Extender","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate 2× Balahara Scale 1× Balahara Shell 1× Balahara Black Pearl","Balahara"
"Balahara Coil α","Balahara α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Evade Extender Evade Window","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate S 1× Balahara Skull+ 1× Torrent Sac","Balahara Scale+"
"Balahara Coil β","Balahara β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Window","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate S 1× Balahara Skull+ 1× Torrent Sac","Balahara Scale+"
"Balahara Greaves","Balahara Large Monsters","Rarity 2","400 z","Scaling Prowess Evade Extender","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Shell 1× Balahara Skull","Balahara"
"Balahara Greaves α","Balahara α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Evade Extender Geologist","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate S 2× Balahara Scale+ 2× Balahara Carapace 1× Balahara Black Pearl","Balahara Scale+"
"","","","","","","","","","",""
"Balahara Greaves β","Balahara β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Extender","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate S 2× Balahara Scale+ 2× Balahara Carapace 1× Balahara Black Pearl","Balahara Scale+"
"Balahara Helm","Balahara Large Monsters","Rarity 2","400 z","Scaling Prowess Hunger Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Scale 1× Balahara Skull","Balahara"
"Balahara Helm α","Balahara α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Geologist Evade Window","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate S 2× Balahara Carapace 1× Balahara Skull+","Balahara Scale+"
"Balahara Helm β","Balahara β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Window","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Certificate S 2× Balahara Carapace 1× Balahara Skull+","Balahara Scale+"
"Balahara Mail","Balahara Large Monsters","Rarity 2","400 z","Scaling Prowess Quick Sheathe","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Scale 1× Balahara Shell 1× Balahara Tail","Balahara"
"Balahara Mail α","Balahara α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Geologist Stamina Surge","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Scale+ 1× Balahara Skull+ 1× Monster Keenbone","Balahara Scale+"
"Balahara Mail β","Balahara β Armor Sets","Rarity 5","3,500 z","Scale Layering Geologist","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Scale+ 1× Balahara Skull+ 1× Monster Keenbone","Balahara Scale+"
"Balahara Vambraces","Balahara Large Monsters","Rarity 2","400 z","Scaling Prowess Evade Extender","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Balahara Skull 1× Balahara Tail 1× Aqua Sac","Balahara"
"Balahara Vambraces α","Balahara α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Evade Extender Stamina Surge","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Scale+ 2× Balahara Carapace 1× Balahara Skull+ 1× Balahara Tail","Balahara Scale+"
"Balahara Vambraces β","Balahara β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Extender","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Balahara Scale+ 2× Balahara Carapace 1× Balahara Skull+ 1× Balahara Tail","Balahara Scale+"
"Barina Coil","Lala Barina Large Monsters","Rarity 1","200 z","Neopteron Alert Recovery Up","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Mucus 1× Lala Barina Claw 1× Lala Barina Stinger","Lala Barina"
"Barina Coil α","Lala Barina α Armor Sets","Rarity 5","3,000 z","Neopteron Alert Paralysis Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Floret+ 2× Lala Barina Mucus+ 2× Carbalite Ore","Lured by Abundance Assignments"
"","","","","","","","","","",""
"Barina Coil β","Lala Barina β Armor Sets","Rarity 5","3,000 z","Neopteron Camouflage Paralysis Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Floret+ 2× Lala Barina Mucus+ 2× Carbalite Ore","Lured by Abundance Assignments"
"Barina Greaves","Lala Barina Large Monsters","Rarity 1","200 z","Neopteron Alert Recovery Up","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate 2× Lala Barina Floret 1× Lala Barina Mucus 1× Monster Fluid","Lala Barina"
"Barina Greaves α","Lala Barina α Armor Sets","Rarity 5","3,000 z","Neopteron Alert Evade Window Foray","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate S 2× Lala Barina Floret+ 1× Lala Barina Mucus+ 1× Novacrystal","Lured by Abundance Assignments"
"Barina Greaves β","Lala Barina β Armor Sets","Rarity 5","3,000 z","Neopteron Camouflage Evade Window","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate S 2× Lala Barina Floret+ 1× Lala Barina Mucus+ 1× Novacrystal","Lured by Abundance Assignments"
"Barina Headgear","Lala Barina Large Monsters","Rarity 1","200 z","Neopteron Alert Paralysis Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Floret 1× Lala Barina Mucus","Lala Barina"
"Barina Headgear α","Lala Barina α Armor Sets","Rarity 5","3,000 z","Neopteron Alert Paralysis Resistance Foray","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate S 3× Lala Barina Carapace 2× Lala Barina Claw+","Lured by Abundance Assignments"
"Barina Headgear β","Lala Barina β Armor Sets","Rarity 5","3,000 z","Neopteron Camouflage Foray","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate S 3× Lala Barina Carapace 2× Lala Barina Claw+","Lured by Abundance Assignments"
"Barina Mail","Lala Barina Large Monsters","Rarity 1","200 z","Neopteron Alert Paralysis Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Floret 2× Lala Barina Shell 1× Lala Barina Stinger","Lala Barina"
"Barina Mail α","Lala Barina α Armor Sets","Rarity 5","3,000 z","Neopteron Alert Recovery Up Evade Window","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Floret+ 2× Lala Barina Carapace 1× Lala Barina Mucus+ 1× Lala Barina Stinger+","Lured by Abundance Assignments"
"Barina Mail β","Lala Barina β Armor Sets","Rarity 5","3,000 z","Neopteron Camouflage Recovery Up Evade Window","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Floret+ 2× Lala Barina Carapace 1× Lala Barina Mucus+ 1× Lala Barina Stinger+","Lured by Abundance Assignments"
"Barina Vambraces","Lala Barina Large Monsters","Rarity 1","200 z","Neopteron Alert Recovery Up","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Lala Barina Shell 1× Lala Barina Claw","Lala Barina"
"Barina Vambraces α","Lala Barina α Armor Sets","Rarity 5","3,000 z","Neopteron Alert Recovery Up Foray","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate S 1× Lala Barina Claw+ 1× Lala Barina Stinger+ 1× Monster Broth","Lured by Abundance Assignments"
"","","","","","","","","","",""
"Barina Vambraces β","Lala Barina β Armor Sets","Rarity 5","3,000 z","Neopteron Camouflage Recovery Up","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Lala Barina Certificate S 1× Lala Barina Claw+ 1× Lala Barina Stinger+ 1× Monster Broth","Lured by Abundance Assignments"
"Battle Coil α","Battle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Item Prolonger Bind Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Scarred Scale 1× Colossal Bone 1× Dragonbone Relic","Scarred Scale"
"Battle Greaves α","Battle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Marathon Runner Constitution","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Scarred Scale 1× Blango Pelt+ 1× Frozen Icebone","Scarred Scale"
"Battle Helm α","Battle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Stamina Surge","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Scarred Scale 1× Blango Pelt+ 1× Frozen Icebone","Scarred Scale"
"Battle Mail α","Battle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Hunger Resistance Sleep Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Scarred Scale 1× Colossal Bone 1× Frozen Icebone","Scarred Scale"
"Battle Vambraces α","Battle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Free Meal","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Scarred Scale 1× Colossal Bone 1× Frozen Icebone","Scarred Scale"
"Blango Coil α","Blango α Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Fortifying Pelt Agitator Wide-Range","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Blangonga Certificate S 5× Blangonga Fang+ 2× Blangonga Whisker 3× Freezer Sac","Blangonga"
"Blango Coil β","Blango β Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Alluring Pelt Agitator","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Blangonga Certificate S 5× Blangonga Fang+ 2× Blangonga Whisker 3× Freezer Sac","Blangonga"
"Blango Greaves α","Blango α Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Fortifying Pelt Agitator Counterstrike","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Blangonga Pelt+ 2× Blangonga Tail 2× Blangonga Whisker 3× Great Stoutbone","Blangonga"
"Blango Greaves β","Blango β Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Alluring Pelt Agitator","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Blangonga Pelt+ 2× Blangonga Tail 2× Blangonga Whisker 3× Great Stoutbone","Blangonga"
"Blango Helm α","Blango α Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Fortifying Pelt Wide-Range Counterstrike","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Blangonga Pelt+ 4× Blangonga Fang+ 2× Blangonga Tail 2× Colossal Bone","Blangonga"
"Blango Helm β","Blango β Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Alluring Pelt Wide-Range","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Blangonga Pelt+ 4× Blangonga Fang+ 2× Blangonga Tail 2× Colossal Bone","Blangonga"
"","","","","","","","","","",""
"Blango Mail α","Blango α Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Fortifying Pelt Agitator Item Prolonger","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Blangonga Certificate S 3× Blangonga Whisker 2× Blango Pelt+","Blangonga"
"Blango Mail β","Blango β Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Alluring Pelt Agitator","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Blangonga Certificate S 3× Blangonga Whisker 2× Blango Pelt+","Blangonga"
"Blango Vambraces α","Blango α Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Fortifying Pelt Counterstrike Palico Rally","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Blangonga Certificate S 5× Blangonga Pelt+ 3× Blangonga Tail 1× Beast Gem","Blangonga"
"Blango Vambraces β","Blango β Armor Sets","Rarity 6","5,000 z","Blangonga's Spirit Alluring Pelt Counterstrike","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Blangonga Certificate S 5× Blangonga Pelt+ 3× Blangonga Tail 1× Beast Gem","Blangonga"
"Bone Coil","Bone Armor Sets","Rarity 1","100 z","Marathon Runner","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Mystery Bone",""
"Bone Coil α","Bone α Armor Sets","Rarity 5","2,500 z","Marathon Runner","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quality Bone 1× Tough Guardian Bone","Lured by Abundance Assignments"
"Bone Greaves","Bone Armor Sets","Rarity 1","100 z","Stun Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Mystery Bone",""
"Bone Greaves α","Bone α Armor Sets","Rarity 5","2,500 z","Stun Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quality Bone 1× Charred Oilbone","Lured by Abundance Assignments"
"Bone Helm","Bone Armor Sets","Rarity 1","100 z","Marathon Runner","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Mystery Bone",""
"Bone Helm α","Bone α Armor Sets","Rarity 5","2,500 z","Stun Resistance Speed Eating","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quality Bone 1× Frozen Icebone","Lured by Abundance Assignments"
"Bone Mail","Bone Armor Sets","Rarity 1","100 z","Marathon Runner","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Mystery Bone",""
"Bone Mail α","Bone α Armor Sets","Rarity 5","2,500 z","Marathon Runner Stun Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quality Bone 1× Charred Oilbone","Lured by Abundance Assignments"
"","","","","","","","","","",""
"Bone Vambraces","Bone Armor Sets","Rarity 1","100 z","Stun Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Mystery Bone",""
"Bone Vambraces α","Bone α Armor Sets","Rarity 5","2,500 z","Marathon Runner Speed Eating","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quality Bone 1× Frozen Icebone","Lured by Abundance Assignments"
"Bulaqchi Specs","Bulaqchi Small Monsters","Rarity 1","100 z","Neopteron Alert Entomologist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Bulaqchi Shell","Bulaqchi Small Monsters"
"Bulaqchi Specs α","Bulaqchi α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Entomologist Weakness Exploit","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Bulaqchi Carapace","Lured by Abundance Assignments"
"Bulaqchi Specs β","Bulaqchi β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Entomologist","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Bulaqchi Carapace","Lured by Abundance Assignments"
"Butterfly Brachia α","Butterfly α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Constitution Evade Window Recovery Speed","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Innerwing 1× Monster Broth","Great Hornfly"
"Butterfly Crura α","Butterfly α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Constitution Evade Window Recovery Up","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Innerwing 1× Monster Broth","Great Hornfly"
