"Title","MaxLevel","Lv1","Lv2","Lv3","Lv4","Lv5","Lv6","Lv7","ObtainedFrom"
"Attack Boost","5","Attack +3","Attack +5","Attack +7","Attack +2% Bonus: +8","Attack +4% Bonus: +9","","","A Aerial Glaive Insect Glaive Attack Jewel II [2] Attack Jewel III [3] Attack Jewel [1] B Bone Axe II Switch Axe Bone Axe III Switch Axe Bone Axe IV Switch Axe Bone Blade II Great Sword Bone Blade III Great Sword Bone Blade IV Great Sword Bone Bludgeon II Hammer Bone Bludgeon III Hammer Bone Bludgeon IV Hammer Bone Gunlance II Gunlance Bone Gunlance III Gunlance Bone Gunlance IV Gunlance Bone Hatchets II Dual Blades Bone Hatchets III Dual Blades Bone Hatchets IV Dual Blades Bone Horn II Hunting Horn Bone Horn III Hunting Horn Bone Horn IV Hunting Horn Bone Kukri II Sword and Shield Bone Kukri III Sword and Shield Bone Kukri IV Sword and Shield Bone Lance II Lance Bone Lance III Lance Bone Lance IV Lance Bone Shooter II Heavy Bowgun Bone Shooter III Heavy Bowgun Bone Shooter IV Heavy Bowgun Bone Shotel II Long Sword Bone Shotel III Long Sword Bone Shotel IV Long Sword Bone Slasher Great Sword Bone Smasher Switch Axe Bone Staff II Insect Glaive Bone Staff III Insect Glaive Bone Staff IV Insect Glaive Bone Strongarm II Charge Blade Bone Strongarm III Charge Blade Bone Strongarm IV Charge Blade C Chief Kukri Sword and Shield G Great Bone Gunlance Gunlance H Hard Bone Lance Lance Hard Bone Shotel Long Sword Hard Bone Strongarm Charge Blade Hardened Bone Horn Hunting Horn Heavy Bone Bludgeon Hammer Heavy Shooter Heavy Bowgun Hunter's Bow II Bow Hunter's Bow III Bow Hunter's Bow IV Bow Hunter's Rifle II Light Bowgun Hunter's Rifle III Light Bowgun Hunter's Rifle IV Light Bowgun Hunter's Stoutbow Bow P Power Rifle Light Bowgun W Wild Hatchets Dual Blades"
"Balanced Meal","","","","","","","","",""
"","","","","","","","","",""
"Ballistics","3","Slightly extends range.","Extends range.","Greatly extends range.","","","","","Albirath Bow I Bow Albirath Bow II Bow Dosha Griefbringer I Bow Dosha Griefbringer II Bow Esperanza Bow Bow Esperanza Cannon Heavy Bowgun Esperanza Rifle Light Bowgun G. Rathling Gun I Light Bowgun G. Rathling Gun II Light Bowgun Griefbringer Urstox Bow Hope Bow II Bow Hope Bow III Bow Hope Bow IV Bow Hope Bow V Bow Hope Cannon II Heavy Bowgun Hope Cannon III Heavy Bowgun Hope Cannon IV Heavy Bowgun Hope Cannon V Heavy Bowgun Hope Rifle II Light Bowgun Hope Rifle III Light Bowgun Hope Rifle IV Light Bowgun Hope Rifle V Light Bowgun Kut-Ku Anger I Light Bowgun Kut-Ku Anger II Light Bowgun Kut-Ku Counterattack Light Bowgun Precise Jewel II [2] Precise Jewel III [3] Precise Jewel [1] Solar Spicule Bow White Rathling Phoenix Light Bowgun"
"Bind Resistance","3","Allows you to quickly recover from webbed status or frostblight.…","Allows you to very quickly recover from webbed status or frostblight.…","Prevents webbed status and frostblight.","","","","","Battle Coil α Battle α Dahaad Shardmail α Dahaad Shardmail β Dahaad α Dahaad β Escape Charm I Escape Charm II Escape Charm III Escape Jewel [1] Nerscylla Nerscylla Coil Nerscylla Coil α Nerscylla Coil β Nerscylla Helm α Nerscylla Helm β Nerscylla Mail Nerscylla α Nerscylla β"
"Black Belt Meal (Hi)","","Greatly reduces stamina depletion when performing stamina-draining…","","","","","","",""
"Black Belt Meal (Lo)","","Reduces stamina depletion when performing stamina-draining moves…","","","","","","",""
"Blangonga's Spirit","2","Using the <BOLD>To Victory!</BOLD> gesture moderately increases…","Using the <BOLD>To Victory!</BOLD> gesture increases attack temporarily…","","","","","","Blango Coil α Blango Coil β Blango Greaves α Blango Greaves β Blango Helm α Blango Helm β Blango Mail α Blango Mail β Blango Vambraces α Blango Vambraces β Blango α Blango β"
"Blast Attack","3","Blast buildup +5% Bonus: +10","Blast buildup +10% Bonus: +20","Blast buildup +20% Bonus: +50","","","","","Blast Jewel II [2] Blast Jewel III [3] Blast Jewel [1]"
"Blast Functionality","1","Lets you use blast coatings.","","","","","","","Blastcoat Jewel [2]"
"Blast Resistance","3","Delays blastblight and reduces blast damage.","Greatly delays blastblight and greatly reduces blast damage.…","Prevents blastblight.","","","","","Ajarakan Ajarakan Coil Ajarakan Coil α Ajarakan Coil β Ajarakan Greaves Ajarakan Mail α Ajarakan α Ajarakan β Antiblast Jewel [1] Blast Charm I Blast Charm II Blast Charm III High Metal Braces α High Metal α"
"Bleeding Resistance","3","Reduces damage while bleeding.","Greatly reduces damage while bleeding.","Prevents bleeding.","","","","","Bleed Charm I Bleed Charm II Bleed Charm III G. Ebony Coil G. Ebony Coil α G. Ebony Greaves G. Ebony Mail G. Ebony Mail α Guardian Ebony Guardian Ebony α High Metal Greaves α High Metal α Melahoa Folia α Melahoa α Suture Jewel [1]"
"Blight Resistance","3","Reduces the duration of all elemental blights by 50%.","Reduces the duration of all elemental blights by 75%.","Nullifies all elemental blights.","","","","","Artian Vambraces α Artian α Blight Charm I Blight Charm II Expedition Headgear α Expedition Headgear α G. Arkveld Coil G. Arkveld Greaves G. Arkveld Mail G. Arkveld Mail α G. Arkveld Mail β G. Arkveld Vambraces α Guardian Arkveld Guardian Arkveld α Guardian Arkveld β"
"Blindsider","1","Improves the effectiveness of flash attacks and items.","","","","","","","Flash Jewel [1] Gypceros Helm α Gypceros α"
"Bludgeoner","3","#ERROR!","#ERROR!","#ERROR!","","","","","Blunt Jewel II [2] Blunt Jewel III [3] Blunt Jewel [1]"
"","","","","","","","","",""
"Bombardier","3","Explosive power +10%","Explosive power +20%","Explosive power +30%","","","","","Ajarakan Ajarakan Coil Ajarakan Helm Ajarakan Helm α Ajarakan Helm β Ajarakan Vambraces Ajarakan Vambraces α Ajarakan Vambraces β Ajarakan α Ajarakan β Bombardier Charm I Bombardier Charm II Bombardier Charm III Bomber Jewel [1] High Metal Coil α High Metal α"
"Botanist","4","One extra consumable herb item per gather.","Additionally adds one extra consumable fruit, nut, or seed item…","Additionally adds one extra consumable insect item per gather.…","Additionally adds one extra consumable mushroom item per gather.…","","","","Botany Charm I Botany Charm II Botany Charm III Botany Charm IV Botany Jewel [1] Leather Leather Belt Leather Gloves α Leather Headgear Leather Headgear α Leather Mail α Leather Pants Leather Vest Leather α Sild Hood α Sild α"
"Break-time Meal","","","","","","","","",""
"Bulldozer Meal","","","","","","","","",""
"Burst","5","On first hit, gain a small temporary attack and element boost,…","Hit 5 successive times for a moderate stat boost.","Hit 5 successive times for a bigger stat boost.","Hit 5 successive times for an even bigger stat boost.","Hit 5 successive times for a huge stat boost.","","","Chain Charm I Chain Charm II Chain Jewel [3] Conga Greaves α Conga Greaves β Conga Mail α Conga α Conga β G. Ebony Braces G. Ebony Braces α G. Ebony Braces β G. Ebony Coil G. Ebony Coil α G. Ebony Coil β G. Ebony Helm G. Ebony Helm α G. Ebony Helm β Guardian Ebony Guardian Ebony α Guardian Ebony β Nu Udra α Nu Udra β Talioth Vambraces α Talioth α Udra Miregreaves α Udra Miregreaves β Udra Miremail α"
"Buttery Leathercraft","1","Increases your affinity temporarily when sliding on terrain.…","","","","","","","Chatacabra Coil β Chatacabra Greaves β Chatacabra Helm β Chatacabra Mail β Chatacabra Vambraces β Chatacabra β Gypceros Coil β Gypceros Greaves β Gypceros Helm β Gypceros Mail β Gypceros Vambraces β Gypceros β Piragill Greaves β Piragill β Rompopolo Coil β Rompopolo Greaves β Rompopolo Helm β Rompopolo Mail β Rompopolo Vambraces β Rompopolo β Talioth Vambraces β Talioth β Xu Wu Coil β Xu Wu Greaves β Xu Wu Helm β Xu Wu Mail β Xu Wu Vambraces β Xu Wu β"
"Caprice Meal (Hi)","","Repeatedly activates a large temporary attack boost at random…","","","","","","",""
"Caprice Meal (Lo)","","Repeatedly activates a temporary attack boost at random intervals.…","","","","","","",""
"Capture Pro Meal","","","","","","","","",""
"Carver Meal","","","","","","","","",""
"Charge Master","3","Slightly increases elemental damage and status buildup for charged…","Increases elemental damage and status buildup for charged attacks.…","Greatly increases elemental damage and status buildup for charged…","","","","","Charge Jewel II [2] Charge Jewel III [3] Charge Jewel [1] Charge/Handicraft Jwl [3] Charge/KO Jewel [3] Chicken Decapitator I Great Sword Chicken Decapitator II Great Sword Cluster Hammer I Hammer Cluster Hammer II Hammer Cluster Hammer III Hammer Graviton Hammer Hammer Halilintar Clairglaive Insect Glaive Kut-Ku Pick I Hammer Kut-Ku Pick II Hammer Kut-Ku Stave I Bow Kut-Ku Stave II Bow Kut-Ku Thwap Hammer Nerscrapper Hammer Nershock Bow Rey Halilintar I Insect Glaive Rey Halilintar II Insect Glaive Rey Halilintar III Insect Glaive Rooster Decapitator Great Sword Scylla Fist I Bow Scylla Fist II Bow Scylla Fist III Bow Shell Hammer I Hammer Stealth Glaive I Insect Glaive Stealth Glaive II Insect Glaive Stealth Glaive III Insect Glaive Stealth Glaive Redux Insect Glaive Strange Kut-Ku Stave Bow Wild Power Bow II Bow Wildwood Kalifa Bow"
"Charge Up","1","Activates skill effect.","","","","","","","Charge Up Jewel [2] Charge Up/Attack Jwl [3] Charge Up/Draw Jwl [3] Charge Up/Expert Jwl [3] Charge Up/Handicraft Jwl [3] Charge Up/KO Jewel [3] Chata Clobberer I Hammer Chata Clobberer II Hammer Chata Clobberer III Hammer Chata Clobberer IV Hammer Death Venom Hammer Hammer Shrouded Aghaturi Hammer Venom Monster I Hammer Venom Monster II Hammer"
"","","","","","","","","",""
"Cliffhanger","1","Reduces stamina depletion while climbing by 50%.","","","","","","","Ajarakan Ajarakan Vambraces Climber Jewel [1]"
"Coalescence","3","When active, grants a slight increase to elemental damage and…","When active, grants an increase to elemental damage and status…","When active, grants a large increase to elemental damage and…","","","","","Expedition Headgear α Expedition Headgear α G. Fulgur Greaves α G. Fulgur Greaves β G. Fulgur Helm α G. Fulgur Mail α Gore Helm α Gore Helm β Gore α Gore β Guardian Fulgur α Guardian Fulgur β Phoenix Charm I Phoenix Charm II Phoenix Jewel [2]"
"Constitution","5","Reduces fixed stamina depletion by 10%.","Reduces fixed stamina depletion by 20%.","Reduces fixed stamina depletion by 30%.","Reduces fixed stamina depletion by 40%.","Reduces fixed stamina depletion by 50%.","","","B Battle Greaves α Battle α Butterfly Brachia α Butterfly Crura α Butterfly Elytra α Butterfly Thorax α Butterfly Vertex α Butterfly α D Dober Coil α Dober Greaves α Dober Helm α Dober Mail α Dober Vambraces α Dober α F Fitness Charm I Fitness Charm II Fitness Charm III Fitness Charm IV G G. Doshaguma Greaves α G. Doshaguma Greaves β G. Doshaguma Mail α G. Doshaguma Mail β Gore Coil α Gore Coil β Gore Vambraces α Gore Vambraces β Gore α Gore β Guardian Doshaguma α Guardian Doshaguma β Guild Ace Boots α Guild Ace Coil α Guild Ace Earrings α Guild Ace Mail α Guild Ace Vambraces α Guild Ace α K Kut-Ku Greaves α Kut-Ku Greaves β Kut-Ku Helm α Kut-Ku Helm β Kut-Ku Vambraces α Kut-Ku Vambraces β Kut-Ku α Kut-Ku β P Physique Jewel [1] R Rathalos Helm α Rathalos Helm β Rathalos Mail α Rathalos Vambraces α Rathalos Vambraces β Rathalos α Rathalos β Rey Dau Rey Sandcoil Rey Sandgreaves Rey Sandmail"
"Convert Element","3","While active, deals extra dragon damage after dealing enough…","Increases additional dragon damage and increases dragon attack.…","Further increases additional dragon damage and greatly increases…","","","","","Arkveld α Arkveld β Arkvulcan Greaves α Arkvulcan Greaves β Arkvulcan Helm α Arkvulcan Helm β Arkvulcan Vambraces α Arkvulcan Vambraces β Convert Charm I"
"Counterstrike","3","Attack +10 while active.","Attack +15 while active. Moderately extends effect time.","Attack +25 while active. Extends effect time.","","","","","Blango Greaves α Blango Helm α Blango Vambraces α Blango Vambraces β Blango α Blango β Counter Charm I Counter Charm II Counter Charm III Counter Jewel [2] Dragonking Eyepatch α Dragonking α Nu Udra α Nu Udra β Udra Mirebraces α Udra Mirebraces β Udra Mirehelm α Udra Mirehelm β"
"Critical Boost","5","Increases damage dealt by critical hits to 28%.","Increases damage dealt by critical hits to 31%.","Increases damage dealt by critical hits to 34%.","Increases damage dealt by critical hits to 37%.","Increases damage dealt by critical hits to 40%.","","","Axelion Blade I Charge Blade Bardichion Blade Charge Blade Corona Sword and Shield Crimson Rook Gunlance Critical Jewel II [2] Critical Jewel III [3] Critical Jewel [1] Dark Filament Bow Firedance Rathmaul Insect Glaive Flame Feroce I Hunting Horn Heat Edge I Sword and Shield Huracan Hammer Hammer Prominence Bow I Bow Rath Blaze Splitter Switch Axe Rath Flamesplitter I Switch Axe Rathalos Feroce Hunting Horn Rathalos Firesword Great Sword Rathling Gun I Light Bowgun Rathling Phoenix Light Bowgun Rathmaul I Insect Glaive Red Bludgeon I Hammer Red Rook I Gunlance Red Tail I Lance Red Wing I Great Sword Spear of Prominence Lance Twin Flames I Dual Blades Wyvern Blade ""Blood"" I Long Sword Wyvern Blade ""Maple"" Long Sword Wyvern Lovers Dual Blades"
"Critical Draw","3","Affinity +50%","Affinity +75%","Affinity +100%","","","","","B Babel Spear Lance Barina Bouclier I Charge Blade Barina Bouclier II Charge Blade Barina Bouclier III Charge Blade Barina Bouclier IV Charge Blade Barina Dague I Sword and Shield Barina Dague II Sword and Shield Barina Dague III Sword and Shield Barina Dague IV Sword and Shield Barina Faucilles I Dual Blades Barina Faucilles II Dual Blades Barina Faucilles III Dual Blades Barina Faucilles IV Dual Blades Barina Flamberge I Long Sword Barina Flamberge II Long Sword Barina Flamberge III Long Sword Barina Flamberge IV Long Sword Barina Hache I Switch Axe Barina Hache II Switch Axe Barina Hache III Switch Axe Barina Hache IV Switch Axe Barina Perche I Insect Glaive Barina Perche II Insect Glaive Barina Perche III Insect Glaive Barina Perche IV Insect Glaive Barina Sarissa I Lance Barina Sarissa II Lance Barina Sarissa III Lance Barina Sarissa IV Lance Big Slugger Gunlance Blanberge I Long Sword Blangongaberge Long Sword Buster Sword I Great Sword Buster Sword II Great Sword Buster Sword III Great Sword C Chrome Gale Insect Glaive Crazed Melody Hunting Horn D Death Venom Hammer Hammer Draw Jewel II [2] Draw Jewel III [3] Draw Jewel [1] F Funky Maracas Dual Blades G Golba Vandal I Switch Axe Golba Vandal II Switch Axe Great Bagpipe Hunting Horn Gundava Vandal Switch Axe H Hard Hitter I Gunlance Hard Hitter II Gunlance I Iron Devil Hammer Iron Gale I Insect Glaive Iron Gale II Insect Glaive Iron Gale III Insect Glaive Iron Hammer I Hammer Iron Hammer II Hammer Iron Hammer III Hammer Iron Katana I Long Sword Iron Katana II Long Sword Iron Katana III Long Sword K Keen Edge Long Sword L Lala Acanthopelm Sword and Shield Lala Aviculari Lance Lala Eumenophor Charge Blade Lala Harpactirs Dual Blades Lala Ornithocton Long Sword Lala Selenocosmi Switch Axe Lala Stromatopelm Insect Glaive M Metal Bagpipe I Hunting Horn Metal Bagpipe II Hunting Horn Metal Bagpipe III Hunting Horn N Nihil Great Sword I Great Sword Nihil Great Sword II Great Sword P Paladin Lance I Lance Pink Maracas I Dual Blades Pink Maracas II Dual Blades Poison Blade I Charge Blade Poison Blade II Charge Blade Poison King Great Sword Poisoned Capri I Hunting Horn Poisoned Capri II Hunting Horn Prinvrilo's Dissolution Great Sword R Ravager Blade Great Sword S Shell Gunberd I Gunlance Shell Gunberd II Gunlance Shell Gunberd III Gunlance Slaughter I Great Sword Slaughter II Great Sword Snow Lion Jambiya Sword and Shield Snow-white Jambiya I Sword and Shield Solid Gunberd Gunlance V Venom Monster I Hammer Venom Monster II Hammer Venom's Kiss Charge Blade Venom's Pain I Sword and Shield Venom's Pain II Sword and Shield Viperine Saber Sword and Shield"
"Critical Element","3","Slightly increases elemental damage while active.","Increases elemental damage while active.","Greatly increases elemental damage while active.","","","","","A Ableben Abzug Heavy Bowgun Alabaster Rathmaul Insect Glaive Albirath Blade I Charge Blade Albirath Blade II Charge Blade Albirath Blaze Splitter Switch Axe Albirath Bludgeon I Hammer Albirath Bludgeon II Hammer Albirath Bow I Bow Albirath Bow II Bow Albirath Edge I Sword and Shield Albirath Edge II Sword and Shield Albirath Feroce I Hunting Horn Albirath Feroce II Hunting Horn Albirath Flamesplitter I Switch Axe Albirath Flamesplitter II Switch Axe Albirath Rook I Gunlance Albirath Rook II Gunlance Albirath Tail I Lance Albirath Tail II Lance Albirath Wing I Great Sword Albirath Wing II Great Sword B Blinding Fulgur I Bow C Crashing Fulgur I Hammer Crit Elem Jwl III [3] Crit Elem/Blaze Jwl [3] Crit Elem/Bolt Jwl [3] Crit Elem/Dragon Jwl [3] Crit Elem/Frost Jwl [3] Crit Elem/Handicraft Jwl [3] Crit Elem/Ironwall Jwl [3] Crit Elem/KO Jewel [3] Crit Elem/Stream Jwl [3] Crit Element Jewel II [2] Crit Element Jewel [1] Crit Element/Precise Jwl [3] D Deafening Fulgur I Hunting Horn Düsterstolz Great Sword E Eiferschild I Lance Eisengeist Switch Axe Eisenleib I Switch Axe Elendskraft I Charge Blade Entbehrung I Bow F Fäulnisschleuder I Light Bowgun Felling Fulgur I Light Bowgun Fieberschild Lance Fledderklauen I Dual Blades Fulgurblade Guardiana Long Sword Fulgurblast Guardiana Heavy Bowgun Fulgurbow Guardiana Bow Fulgurcannon Guardiana Gunlance Fulgurcleaver Guardiana Great Sword Fulgurglaive Guardiana Insect Glaive Fulgurhammer Guardiana Hammer Fulgurhowl Guardiana Hunting Horn Fulgursnipe Guardiana Light Bowgun Fulgurswitch Guardiana Switch Axe Fulgursword Guardiana Sword and Shield Fulgurtwins Guardiana Dual Blades G G. Rathalos Feroce Hunting Horn G. Rathling Gun I Light Bowgun G. Rathling Gun II Light Bowgun Gibil Hammer Hammer Gnashing Fulgur I Long Sword Gramklang Hunting Horn Grimmblick Hammer Grounding Fulgur I Heavy Bowgun Guardian Albathos Charge Blade Guardian Rathmaul I Insect Glaive Guardian Rathmaul II Insect Glaive H Hungerklauen Dual Blades J Jäger-Ankh Sword and Shield K Kummerklang I Hunting Horn L Leidenskraft Charge Blade Leumundsgift Insect Glaive Leumundslist Insect Glaive M Melting Point Sword and Shield Morphing Fulgur I Switch Axe R Rending Fulgur I Sword and Shield Rising Fulgur I Insect Glaive S Schattenstolz I Great Sword Shining Pillar Lance Shining Rook Gunlance Smiting Fulgur I Great Sword Solar Spicule Bow Stahlfakt I Long Sword Stahlrecht Long Sword Sucher-Ankh I Sword and Shield T Tödlicher Abzug I Heavy Bowgun Twin Albiraths I Dual Blades Twin Albiraths II Dual Blades Tyrannenarm I Gunlance V Verräterarm Gunlance Verzweiflung Bow W Wahnschleuder Light Bowgun Warring Fulgur I Gunlance Whirling Fulgur I Dual Blades White Rathling Phoenix Light Bowgun Whitefire Rathguard Great Sword Wuchtblick I Hammer Wyvern Blade ""Ash"" I Long Sword Wyvern Blade ""Ash"" II Long Sword Wyvern Blade ""Lily"" Long Sword Wyvern Sentinels Dual Blades"
"Critical Eye","5","Affinity +4%","Affinity +8%","Affinity +12%","Affinity +16%","Affinity +20%","","","E Esperanza Axe Switch Axe Esperanza Blade Great Sword Esperanza Bow Bow Esperanza Cannon Heavy Bowgun Esperanza Daggers Dual Blades Esperanza Edge Long Sword Esperanza Glaive Insect Glaive Esperanza Gunlance Gunlance Esperanza Hammer Hammer Esperanza Horn Hunting Horn Esperanza Lance Lance Esperanza Rifle Light Bowgun Esperanza Strongarm Charge Blade Esperanza Sword Sword and Shield Expert Jewel II [2] Expert Jewel III [3] Expert Jewel [1] H Hope Axe III Switch Axe Hope Axe IV Switch Axe Hope Axe V Switch Axe Hope Blade III Great Sword Hope Blade IV Great Sword Hope Blade V Great Sword Hope Bow III Bow Hope Bow IV Bow Hope Bow V Bow Hope Cannon III Heavy Bowgun Hope Cannon IV Heavy Bowgun Hope Cannon V Heavy Bowgun Hope Daggers III Dual Blades Hope Daggers IV Dual Blades Hope Daggers V Dual Blades Hope Edge III Long Sword Hope Edge IV Long Sword Hope Edge V Long Sword Hope Glaive III Insect Glaive Hope Glaive IV Insect Glaive Hope Glaive V Insect Glaive Hope Gunlance III Gunlance Hope Gunlance IV Gunlance Hope Gunlance V Gunlance Hope Hammer III Hammer Hope Hammer IV Hammer Hope Hammer V Hammer Hope Horn III Hunting Horn Hope Horn IV Hunting Horn Hope Horn V Hunting Horn Hope Lance III Lance Hope Lance IV Lance Hope Lance V Lance Hope Rifle III Light Bowgun Hope Rifle IV Light Bowgun Hope Rifle V Light Bowgun Hope Strongarm III Charge Blade Hope Strongarm IV Charge Blade Hope Strongarm V Charge Blade Hope Sword III Sword and Shield Hope Sword IV Sword and Shield Hope Sword V Sword and Shield"
