"Icon","Title","Description","How to Obtain","Defensive Stats","Skills","Forging Materials","Unlock Requirements","Alternative Appearance","Armor Set","Rarity","Price","Slot Level 1","Slot Level 2","Slot Level 3","Skill Details"
"","Ajarakan Mail α","Ajarakan chest armor. The heat of its flames warns prey of their…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Resentment Equipment Skills Blast Resistance Equipment Skills","5× Ajarakan Scale+ Equipment Materials 3× Ajarakan Jewel+ Equipment Materials 3× Great Stoutbone Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Fortifying Pelt Lv1;Resentment Lv2;Blast Resistance Lv1"
"","Ajarakan Mail β","Ajarakan chest armor. The heat of its flames warns prey of their…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Alluring Pelt Group Skills Resentment Equipment Skills","5× Ajarakan Scale+ Equipment Materials 3× Ajarakan Jewel+ Equipment Materials 3× Great Stoutbone Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Alluring Pelt Lv1;Resentment Lv2"
"","","","","","","","","","","","","","","",""
"","Ajarakan Vambraces","Mighty Ajarakan armguards. They have just as much ground-shaking…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Bombardier Equipment Skills Cliffhanger Equipment Skills","2× Ajarakan Scale Equipment Materials 2× Ajarakan Shell Equipment Materials 1× Ajarakan Ridge Equipment Materials","Ajarakan Large Monsters","","Ajarakan Large Monsters","Rarity 3","500 z","","","","Fortifying Pelt Lv1;Bombardier Lv1;Cliffhanger Lv1"
"","Ajarakan Vambraces α","Mighty Ajarakan armguards. They have just as much ground-shaking…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Partbreaker Equipment Skills Bombardier Equipment Skills","1× Ajarakan Certificate S Equipment Materials 2× Ajarakan Jewel+ Equipment Materials 3× Ajarakan Scale+ Equipment Materials 1× Ajarakan Medulla Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Fortifying Pelt Lv1;Partbreaker Lv1;Bombardier Lv2"
"","Ajarakan Vambraces β","Mighty Ajarakan armguards. They have just as much ground-shaking…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Alluring Pelt Group Skills Partbreaker Equipment Skills Bombardier Equipment Skills","1× Ajarakan Certificate S Equipment Materials 2× Ajarakan Jewel+ Equipment Materials 3× Ajarakan Scale+ Equipment Materials 1× Ajarakan Medulla Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Alluring Pelt Lv1;Partbreaker Lv1;Bombardier Lv1"
"","Alloy Coil","Waistgear crafted from quality ore. The complexly shaded patina…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Tremor Resistance Equipment Skills","1× Machalite Ore Equipment Materials 1× Earth Crystal Equipment Materials","To the Forest Main Missions","","Alloy Armor Sets","Rarity 1","200 z","","","","Tremor Resistance Lv1"
"","Alloy Coil α","Waistgear crafted from quality ore. The complexly shaded patina…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Tremor Resistance Equipment Skills Quick Sheathe Equipment Skills","1× Carbalite Ore Equipment Materials 2× Dragonite Ore Equipment Materials","Lured by Abundance Assignments","","Alloy α Armor Sets","Rarity 5","2,500 z","1 "" /> 1","","","Tremor Resistance Lv1;Quick Sheathe Lv1"
"","Alloy Greaves","Leg armor crafted from quality ore. What it lacks in charm it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Quick Sheathe Equipment Skills","1× Machalite Ore Equipment Materials 1× Earth Crystal Equipment Materials","To the Forest Main Missions","","Alloy Armor Sets","Rarity 1","200 z","","","","Quick Sheathe Lv1"
"","Alloy Greaves α","Leg armor crafted from quality ore. What it lacks in charm it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Quick Sheathe Equipment Skills Flinch Free Equipment Skills","1× Carbalite Ore Equipment Materials 2× Dragonite Ore Equipment Materials","Lured by Abundance Assignments","","Alloy α Armor Sets","Rarity 5","2,500 z","1 "" /> 1","","","Quick Sheathe Lv1;Flinch Free Lv1"
"","Alloy Helm","A helmet crafted from quality ore. While it doesn’t look like…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Quick Sheathe Equipment Skills","1× Machalite Ore Equipment Materials 1× Iron Ore Equipment Materials","To the Forest Main Missions","","Alloy Armor Sets","Rarity 1","200 z","","","","Quick Sheathe Lv1"
"","Alloy Helm α","A helmet crafted from quality ore. While it doesn’t look like…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Quick Sheathe Equipment Skills","1× Carbalite Ore Equipment Materials 3× Dragonite Ore Equipment Materials","Lured by Abundance Assignments","","Alloy α Armor Sets","Rarity 5","2,500 z","1 "" /> 1","1 "" /> 1","","Quick Sheathe Lv1"
"","Alloy Mail","Chest armor crafted from quality ore. Made with a logical, no-frills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Tremor Resistance Equipment Skills","1× Machalite Ore Equipment Materials 1× Iron Ore Equipment Materials","To the Forest Main Missions","","Alloy Armor Sets","Rarity 1","200 z","","","","Tremor Resistance Lv1"
"","Alloy Mail α","Chest armor crafted from quality ore. Made with a logical, no-frills…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flinch Free Equipment Skills","1× Carbalite Ore Equipment Materials 2× Dragonite Ore Equipment Materials","Lured by Abundance Assignments","","Alloy α Armor Sets","Rarity 5","2,500 z","1 "" /> 1","","","Flinch Free Lv2"
"","Alloy Vambraces","Armguards crafted from quality ore. Every element is streamlined…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Tremor Resistance Equipment Skills","1× Machalite Ore Equipment Materials 1× Iron Ore Equipment Materials","To the Forest Main Missions","","Alloy Armor Sets","Rarity 1","200 z","","","","Tremor Resistance Lv1"
"","","","","","","","","","","","","","","",""
"","Alloy Vambraces α","Armguards crafted from quality ore. Every element is streamlined…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Tremor Resistance Equipment Skills","1× Carbalite Ore Equipment Materials 3× Dragonite Ore Equipment Materials","Lured by Abundance Assignments","","Alloy α Armor Sets","Rarity 5","2,500 z","1 "" /> 1","1 "" /> 1","","Tremor Resistance Lv1"
"","Arkvulcan Coil α","Waistgear made from Arkveld spoils. Until the kingdom was restored,…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Fortifying Pelt Group Skills Weakness Exploit Equipment Skills Recovery Speed Equipment Skills","1× Arkveld Certificate S Equipment Materials 3× Arkveld Armorplate Equipment Materials 3× White Arkveld Pelt Equipment Materials 1× Arkveld Gem Equipment Materials","Arkveld Large Monsters","","Arkveld α Armor Sets","Rarity 8","10,000 z","1 "" /> 1","","","Arkveld's Hunger Lv1;Fortifying Pelt Lv1;Weakness Exploit Lv2;Recovery Speed Lv2"
"","Arkvulcan Coil β","Waistgear made from Arkveld spoils. Until the kingdom was restored,…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Alluring Pelt Group Skills Weakness Exploit Equipment Skills Recovery Speed Equipment Skills","1× Arkveld Certificate S Equipment Materials 3× Arkveld Armorplate Equipment Materials 3× White Arkveld Pelt Equipment Materials 1× Arkveld Gem Equipment Materials","Arkveld Large Monsters","","Arkveld β Armor Sets","Rarity 8","10,000 z","1 "" /> 1","1 "" /> 1","","Arkveld's Hunger Lv1;Alluring Pelt Lv1;Weakness Exploit Lv2;Recovery Speed Lv1"
"","Arkvulcan Greaves α","Leg armor made from Arkveld spoils. No bloody war nor bitter…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Fortifying Pelt Group Skills Convert Element Equipment Skills Quick Sheathe Equipment Skills","6× Arkveld Scale+ Equipment Materials 5× Arkveld Armorplate Equipment Materials 2× Arkveld Calloushell Equipment Materials 2× Arkveld Tail Equipment Materials","Arkveld Large Monsters","","Arkveld α Armor Sets","Rarity 8","10,000 z","2 "" /> 2","1 "" /> 1","","Arkveld's Hunger Lv1;Fortifying Pelt Lv1;Convert Element Lv1;Quick Sheathe Lv2"
"","Arkvulcan Greaves β","Leg armor made from Arkveld spoils. No bloody war nor bitter…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Alluring Pelt Group Skills Convert Element Equipment Skills Quick Sheathe Equipment Skills","6× Arkveld Scale+ Equipment Materials 5× Arkveld Armorplate Equipment Materials 2× Arkveld Calloushell Equipment Materials 2× Arkveld Tail Equipment Materials","Arkveld Large Monsters","","Arkveld β Armor Sets","Rarity 8","10,000 z","3 "" /> 3","1 "" /> 1","","Arkveld's Hunger Lv1;Alluring Pelt Lv1;Convert Element Lv1;Quick Sheathe Lv1"
"","Arkvulcan Helm α","A helmet made from Arkveld spoils. The design was worn by a knight…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Fortifying Pelt Group Skills Convert Element Equipment Skills Elemental Absorption Equipment Skills","5× Arkveld Scale+ Equipment Materials 3× Arkveld Armorplate Equipment Materials 2× White Arkveld Pelt Equipment Materials 3× Arkveld Horn+ Equipment Materials","Arkveld Large Monsters","","Arkveld α Armor Sets","Rarity 8","10,000 z","","","","Arkveld's Hunger Lv1;Fortifying Pelt Lv1;Convert Element Lv1;Elemental Absorption Lv2"
"","Arkvulcan Helm β","A helmet made from Arkveld spoils. The design was worn by a knight…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Alluring Pelt Group Skills Convert Element Equipment Skills","5× Arkveld Scale+ Equipment Materials 3× Arkveld Armorplate Equipment Materials 2× White Arkveld Pelt Equipment Materials 3× Arkveld Horn+ Equipment Materials","Arkveld Large Monsters","","Arkveld β Armor Sets","Rarity 8","10,000 z","3 "" /> 3","2 "" /> 2","1 "" /> 1","Arkveld's Hunger Lv1;Alluring Pelt Lv1;Convert Element Lv1"
"","Arkvulcan Mail α","Chest armor made from Arkveld spoils. The knight fearlessly broke…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Fortifying Pelt Group Skills Weakness Exploit Equipment Skills Elemental Absorption Equipment Skills","2× Arkveld Certificate S Equipment Materials 3× Arkveld Scale+ Equipment Materials 4× Arkveld Armorplate Equipment Materials 4× Arkveld Calloushell Equipment Materials","Arkveld Large Monsters","","Arkveld α Armor Sets","Rarity 8","10,000 z","2 "" /> 2","","","Arkveld's Hunger Lv1;Fortifying Pelt Lv1;Weakness Exploit Lv1;Elemental Absorption Lv1"
"","Arkvulcan Mail β","Chest armor made from Arkveld spoils. The knight fearlessly broke…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Alluring Pelt Group Skills Weakness Exploit Equipment Skills","2× Arkveld Certificate S Equipment Materials 3× Arkveld Scale+ Equipment Materials 4× Arkveld Armorplate Equipment Materials 4× Arkveld Calloushell Equipment Materials","Arkveld Large Monsters","","Arkveld β Armor Sets","Rarity 8","10,000 z","3 "" /> 3","2 "" /> 2","","Arkveld's Hunger Lv1;Alluring Pelt Lv1;Weakness Exploit Lv1"
"","Arkvulcan Vambraces α","Armguards made from Arkveld spoils. Legions a hundred thousand…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Fortifying Pelt Group Skills Convert Element Equipment Skills Recovery Speed Equipment Skills","2× Arkveld Certificate S Equipment Materials 3× Arkveld Calloushell Equipment Materials 2× Arkveld Horn+ Equipment Materials 1× Wyvern Gem Equipment Materials","Arkveld Large Monsters","","Arkveld α Armor Sets","Rarity 8","10,000 z","2 "" /> 2","2 "" /> 2","","Arkveld's Hunger Lv1;Fortifying Pelt Lv1;Convert Element Lv1;Recovery Speed Lv1"
"","Arkvulcan Vambraces β","Armguards made from Arkveld spoils. Legions a hundred thousand…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Arkveld's Hunger Set Bonus Skills Alluring Pelt Group Skills Convert Element Equipment Skills","2× Arkveld Certificate S Equipment Materials 3× Arkveld Calloushell Equipment Materials 2× Arkveld Horn+ Equipment Materials 1× Wyvern Gem Equipment Materials","Arkveld Large Monsters","","Arkveld β Armor Sets","Rarity 8","10,000 z","2 "" /> 2","2 "" /> 2","1 "" /> 1","Arkveld's Hunger Lv1;Alluring Pelt Lv1;Convert Element Lv1"
"","Artian Coil α","Waistgear made from eldritch scraps. Its original purpose remains…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Protection Group Skills Flayer Equipment Skills Windproof Equipment Skills","5× Gracium Equipment Materials 2× Frenzy Shard Equipment Materials 1× Firecell Stone Equipment Materials","What We Protect Side Missions","","Artian α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Guardian's Protection Lv1;Flayer Lv1;Windproof Lv2"
"","","","","","","","","","","","","","","",""
"","Artian Greaves α","Leg armor made from eldritch scraps. Wearing it bestows tremendous…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Protection Group Skills Flayer Equipment Skills Tremor Resistance Equipment Skills","5× Gracium Equipment Materials 1× Frenzy Crystal Equipment Materials 3× Guardian Blood+ Equipment Materials","What We Protect Side Missions","","Artian α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Guardian's Protection Lv1;Flayer Lv1;Tremor Resistance Lv2"
"","Artian Helm α","Head armor made of eldritch scraps. Artisans debated its design…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Protection Group Skills Flayer Equipment Skills Earplugs Equipment Skills","5× Gracium Equipment Materials 1× Frenzy Crystal Equipment Materials 1× Novacrystal Equipment Materials","What We Protect Side Missions","","Artian α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","1 "" /> 1","","Guardian's Protection Lv1;Flayer Lv1;Earplugs Lv1"
"","Artian Mail α","Chest armor made from eldritch scraps, which even the Smithy…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Protection Group Skills Flayer Equipment Skills Adaptability Equipment Skills","5× Gracium Equipment Materials 2× Frenzy Shard Equipment Materials 10× Earth Crystal Equipment Materials","What We Protect Side Missions","","Artian α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Guardian's Protection Lv1;Flayer Lv1;Adaptability Lv1"
"","Artian Vambraces α","Arm guards made from eldritch scraps. Unlocking its potential…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Guardian's Protection Group Skills Flayer Equipment Skills Blight Resistance Equipment Skills","5× Gracium Equipment Materials 1× Frenzy Crystal Equipment Materials 1× Dragonbone Relic Equipment Materials","What We Protect Side Missions","","Artian α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Guardian's Protection Lv1;Flayer Lv1;Blight Resistance Lv2"
"","Azuz Apron α","Chest armor worn in the village of the Everforge. Large medallions…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Heroics Equipment Skills","1× Azuz Tanned Leather Equipment Materials 1× Firecell Stone Equipment Materials","Azuz Tanned Leather Equipment Materials","","Azuz α Armor Sets","Rarity 6","4,000 z","1 "" /> 1","1 "" /> 1","","Imparted Wisdom Lv1;Heroics Lv3"
"","Azuz Headdress α","Headwear worn in the village of the Everforge. The hairpin’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Maximum Might Equipment Skills","1× Azuz Tanned Leather Equipment Materials 2× Charred Oilbone Equipment Materials","Azuz Tanned Leather Equipment Materials","","Azuz α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Maximum Might Lv2"
"","Azuz Pants α","Legwear worn in the village of the Everforge. The rubbery, oil-…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Geologist Equipment Skills","1× Azuz Tanned Leather Equipment Materials 2× Firestone Equipment Materials","Azuz Tanned Leather Equipment Materials","","Azuz α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Imparted Wisdom Lv1;Geologist Lv3"
"","Balahara Coil","Balahara waistgear. The fabric is colored a shade of red that…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Evade Extender Equipment Skills","1× Balahara Certificate Equipment Materials 2× Balahara Scale Equipment Materials 1× Balahara Shell Equipment Materials 1× Balahara Black Pearl Equipment Materials","Balahara Large Monsters","","Balahara Large Monsters","Rarity 2","400 z","","","","Scaling Prowess Lv1;Evade Extender Lv1"
"","Balahara Coil α","Balahara waistgear. The fabric is colored a shade of red that…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Evade Extender Equipment Skills Evade Window Equipment Skills","1× Balahara Certificate S Equipment Materials 1× Balahara Skull+ Equipment Materials 1× Torrent Sac Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara α Armor Sets","Rarity 5","3,500 z","","","","Scaling Prowess Lv1;Evade Extender Lv1;Evade Window Lv1"
"","Balahara Coil β","Balahara waistgear. The fabric is colored a shade of red that…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Evade Window Equipment Skills","1× Balahara Certificate S Equipment Materials 1× Balahara Skull+ Equipment Materials 1× Torrent Sac Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara β Armor Sets","Rarity 5","3,500 z","1 "" /> 1","1 "" /> 1","","Scale Layering Lv1;Evade Window Lv1"
"","Balahara Greaves","Spiny Balahara leg armor. The carapace has been split into clever,…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Evade Extender Equipment Skills","2× Balahara Shell Equipment Materials 1× Balahara Skull Equipment Materials","Balahara Large Monsters","","Balahara Large Monsters","Rarity 2","400 z","","","","Scaling Prowess Lv1;Evade Extender Lv1"
"","Balahara Greaves α","Spiny Balahara leg armor. The carapace has been split into clever,…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Evade Extender Equipment Skills Geologist Equipment Skills","1× Balahara Certificate S Equipment Materials 2× Balahara Scale+ Equipment Materials 2× Balahara Carapace Equipment Materials 1× Balahara Black Pearl Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara α Armor Sets","Rarity 5","3,500 z","1 "" /> 1","1 "" /> 1","","Scaling Prowess Lv1;Evade Extender Lv1;Geologist Lv1"
"","","","","","","","","","","","","","","",""
"","Balahara Greaves β","Spiny Balahara leg armor. The carapace has been split into clever,…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Evade Extender Equipment Skills","1× Balahara Certificate S Equipment Materials 2× Balahara Scale+ Equipment Materials 2× Balahara Carapace Equipment Materials 1× Balahara Black Pearl Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara β Armor Sets","Rarity 5","3,500 z","1 "" /> 1","1 "" /> 1","1 "" /> 1","Scale Layering Lv1;Evade Extender Lv1"
"","Balahara Helm","A Balahara helmet covered in roughly polished protrusions to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Hunger Resistance Equipment Skills","2× Balahara Scale Equipment Materials 1× Balahara Skull Equipment Materials","Balahara Large Monsters","","Balahara Large Monsters","Rarity 2","400 z","","","","Scaling Prowess Lv1;Hunger Resistance Lv1"
"","Balahara Helm α","A Balahara helmet covered in roughly polished protrusions to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Geologist Equipment Skills Evade Window Equipment Skills","1× Balahara Certificate S Equipment Materials 2× Balahara Carapace Equipment Materials 1× Balahara Skull+ Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara α Armor Sets","Rarity 5","3,500 z","1 "" /> 1","","","Scaling Prowess Lv1;Geologist Lv1;Evade Window Lv1"
"","Balahara Helm β","A Balahara helmet covered in roughly polished protrusions to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Evade Window Equipment Skills","1× Balahara Certificate S Equipment Materials 2× Balahara Carapace Equipment Materials 1× Balahara Skull+ Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara β Armor Sets","Rarity 5","3,500 z","2 "" /> 2","","","Scale Layering Lv1;Evade Window Lv1"
"","Balahara Mail","Balahara chest armor. The bulky shoulders are roomy enough to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Quick Sheathe Equipment Skills","2× Balahara Scale Equipment Materials 1× Balahara Shell Equipment Materials 1× Balahara Tail Equipment Materials","Balahara Large Monsters","","Balahara Large Monsters","Rarity 2","400 z","","","","Scaling Prowess Lv1;Quick Sheathe Lv1"
"","Balahara Mail α","Balahara chest armor. The bulky shoulders are roomy enough to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Geologist Equipment Skills Stamina Surge Equipment Skills","2× Balahara Scale+ Equipment Materials 1× Balahara Skull+ Equipment Materials 1× Monster Keenbone Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara α Armor Sets","Rarity 5","3,500 z","1 "" /> 1","","","Scaling Prowess Lv1;Geologist Lv1;Stamina Surge Lv1"
"","Balahara Mail β","Balahara chest armor. The bulky shoulders are roomy enough to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Geologist Equipment Skills","2× Balahara Scale+ Equipment Materials 1× Balahara Skull+ Equipment Materials 1× Monster Keenbone Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara β Armor Sets","Rarity 5","3,500 z","1 "" /> 1","1 "" /> 1","1 "" /> 1","Scale Layering Lv1;Geologist Lv1"
