"Icon","Title","Description","Skills","Slot Level","Rarity","Price"
"","Stream/Bandolier Jwl [3]","A decoration that grants the Water Attack and Tetrad Shot skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Stream/Focus Jewel [3]","A decoration that grants the Water Attack and Focus skills. …","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Enhancer Jwl [3]","A decoration that grants the Water Attack and Power Prolonger…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/KO Jewel [3]","A decoration that grants the Water Attack and Slugger skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Quickswitch Jwl [3]","A decoration that grants the Water Attack and Rapid Morph skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Ironwall Jwl [3]","A decoration that grants the Water Attack and Guard skills. …","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Shield Jewel [3]","A decoration that grants the Water Attack and Guard Up skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost Jewel [1]","A decoration that grants the Ice Attack skill.","Ice Attack Equipment Skills","1","Rarity 3","150 z"
"","Frost Jewel II [2]","A decoration that grants the Ice Attack skill.","Ice Attack Equipment Skills","2","Rarity 4","200 z"
"","Frost Jewel III [3]","A decoration that grants the Ice Attack skill.","Ice Attack Equipment Skills","3","Rarity 5","250 z"
"","Frost/Guardian Jwl [3]","A decoration that grants the Ice Attack and Offensive Guard skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Crit Elem Jwl [3]","A decoration that grants the Ice Attack and Critical Element…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Handicraft Jwl [3]","A decoration that grants the Ice Attack and Handicraft skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Frost/Rzr Sharp Jwl [3]","A decoration that grants the Ice Attack and Razor Sharp skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Precise Jewel [3]","A decoration that grants the Ice Attack and Ballistics skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Opener Jewel [3]","A decoration that grants the Ice Attack and Opening Shot skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Bandolier Jwl [3]","A decoration that grants the Ice Attack and Tetrad Shot skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Focus Jewel [3]","A decoration that grants the Ice Attack and Focus skills.","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Enhancer Jwl [3]","A decoration that grants the Ice Attack and Power Prolonger skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/KO Jewel [3]","A decoration that grants the Ice Attack and Slugger skills. …","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Quickswitch Jwl [3]","A decoration that grants the Ice Attack and Rapid Morph skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Ironwall Jwl [3]","A decoration that grants the Ice Attack and Guard skills.","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Frost/Shield Jewel [3]","A decoration that grants the Ice Attack and Guard Up skills.…","Ice Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt Jewel [1]","A decoration that grants the Thunder Attack skill.","Thunder Attack Equipment Skills","1","Rarity 3","150 z"
"","Bolt Jewel II [2]","A decoration that grants the Thunder Attack skill.","Thunder Attack Equipment Skills","2","Rarity 4","200 z"
,,,,,,
"","Bolt Jewel III [3]","A decoration that grants the Thunder Attack skill.","Thunder Attack Equipment Skills","3","Rarity 5","250 z"
"","Bolt/Guardian Jwl [3]","A decoration that grants the Thunder Attack and Offensive Guard…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Crit Elem Jwl [3]","A decoration that grants the Thunder Attack and Critical Element…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Handicraft Jwl [3]","A decoration that grants the Thunder Attack and Handicraft skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Rzr Sharp Jwl [3]","A decoration that grants the Thunder Attack and Razor Sharp skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Precise Jewel [3]","A decoration that grants the Thunder Attack and Ballistics skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Opener Jewel [3]","A decoration that grants the Thunder Attack and Opening Shot…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Bandolier Jwl [3]","A decoration that grants the Thunder Attack and Tetrad Shot skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Focus Jewel [3]","A decoration that grants the Thunder Attack and Focus skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Enhancer Jwl [3]","A decoration that grants the Thunder Attack and Power Prolonger…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/KO Jewel [3]","A decoration that grants the Thunder Attack and Slugger skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Quickswitch Jwl [3]","A decoration that grants the Thunder Attack and Rapid Morph skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Bolt/Ironwall Jewel [3]","A decoration that grants the Thunder Attack and Guard skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Bolt/Shield Jewel [3]","A decoration that grants the Thunder Attack and Guard Up skills.…","Thunder Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon Jewel [1]","A decoration that grants the Dragon Attack skill.","Dragon Attack Equipment Skills","1","Rarity 3","150 z"
"","Dragon Jewel II [2]","A decoration that grants the Dragon Attack skill.","Dragon Attack Equipment Skills","2","Rarity 4","200 z"
"","Dragon Jewel III [3]","A decoration that grants the Dragon Attack skill.","Dragon Attack Equipment Skills","3","Rarity 5","250 z"
"","Dragon/Guardian Jwl [3]","A decoration that grants the Dragon Attack and Offensive Guard…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Crit Elem Jwl [3]","A decoration that grants the Dragon Attack and Critical Element…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Handicraft Jwl [3]","A decoration that grants the Dragon Attack and Handicraft skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Rzr Sharp Jwl [3]","A decoration that grants the Dragon Attack and Razor Sharp skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Precise Jewel [3]","A decoration that grants the Dragon Attack and Ballistics skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Opener Jewel [3]","A decoration that grants the Dragon Attack and Opening Shot skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Bandolier Jwl [3]","A decoration that grants the Dragon Attack and Tetrad Shot skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Dragon/Focus Jewel [3]","A decoration that grants the Dragon Attack and Focus skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Enhancer Jwl [3]","A decoration that grants the Dragon Attack and Power Prolonger…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/KO Jewel [3]","A decoration that grants the Dragon Attack and Slugger skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Quickswitch Jwl [3]","A decoration that grants the Dragon Attack and Rapid Morph skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Ironwall Jwl [3]","A decoration that grants the Dragon Attack and Guard skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Dragon/Shield Jewel [3]","A decoration that grants the Dragon Attack and Guard Up skills.…","Dragon Attack Equipment Skills","3","Rarity 6","300 z"
"","Venom Jewel [1]","A decoration that grants the Poison Attack skill.","Poison Attack Equipment Skills","1","Rarity 3","150 z"
"","Venom Jewel II [2]","A decoration that grants the Poison Attack skill.","Poison Attack Equipment Skills","2","Rarity 4","200 z"
"","Venom Jewel III [3]","A decoration that grants the Poison Attack skill.","Poison Attack Equipment Skills","3","Rarity 5","250 z"
"","Paralyzer Jewel [1]","A decoration that grants the Paralysis Attack skill.","Paralysis Attack Equipment Skills","1","Rarity 3","150 z"
"","Paralyzer Jewel II [2]","A decoration that grants the Paralysis Attack skill.","Paralysis Attack Equipment Skills","2","Rarity 4","200 z"
"","Paralyzer Jwl III [3]","A decoration that grants the Paralysis Attack skill.","Paralysis Attack Equipment Skills","3","Rarity 5","250 z"
"","Sleep Jewel [1]","A decoration that grants the Sleep Attack skill.","Sleep Attack Equipment Skills","1","Rarity 3","150 z"
"","Sleep Jewel II [2]","A decoration that grants the Sleep Attack skill.","Sleep Attack Equipment Skills","2","Rarity 4","200 z"
"","Sleep Jewel III [3]","A decoration that grants the Sleep Attack skill.","Sleep Attack Equipment Skills","3","Rarity 5","250 z"
"","Blast Jewel [1]","A decoration that grants the Blast Attack skill.","Blast Attack Equipment Skills","1","Rarity 3","150 z"
"","Blast Jewel II [2]","A decoration that grants the Blast Attack skill.","Blast Attack Equipment Skills","2","Rarity 4","200 z"
"","Blast Jewel III [3]","A decoration that grants the Blast Attack skill.","Blast Attack Equipment Skills","3","Rarity 5","250 z"
"","Crit Element Jewel [1]","A decoration that grants the Critical Element skill.","Critical Element Equipment Skills","1","Rarity 3","150 z"
"","Crit Element Jewel II [2]","A decoration that grants the Critical Element skill.","Critical Element Equipment Skills","2","Rarity 4","200 z"
"","Crit Elem Jwl III [3]","A decoration that grants the Critical Element skill.","Critical Element Equipment Skills","3","Rarity 5","250 z"
"","Crit Elem/Blaze Jwl [3]","A decoration that grants the Critical Element and Fire Attack…","Critical Element Equipment Skills","3","Rarity 7","350 z"
"","Crit Elem/Stream Jwl [3]","A decoration that grants the Critical Element and Water Attack…","Critical Element Equipment Skills","3","Rarity 7","350 z"
"","Crit Elem/Frost Jwl [3]","A decoration that grants the Critical Element and Ice Attack…","Critical Element Equipment Skills","3","Rarity 7","350 z"
,,,,,,
"","Crit Elem/Bolt Jwl [3]","A decoration that grants the Critical Element and Thunder Attack…","Critical Element Equipment Skills","3","Rarity 7","350 z"
"","Crit Elem/Dragon Jwl [3]","A decoration that grants the Critical Element and Dragon Attack…","Critical Element Equipment Skills","3","Rarity 7","350 z"
"","Crit Elem/Handicraft Jwl [3]","A decoration that grants the Critical Element and Handicraft…","Critical Element Equipment Skills","3","Rarity 5","250 z"
"","Crit Element/Precise Jwl [3]","A decoration that grants the Critical Element and Ballistics…","Critical Element Equipment Skills","3","Rarity 5","250 z"
"","Crit Elem/KO Jewel [3]","A decoration that grants the Critical Element and Slugger skills.…","Critical Element Equipment Skills","3","Rarity 5","250 z"
"","Crit Elem/Ironwall Jwl [3]","A decoration that grants the Critical Element and Guard skills.…","Critical Element Equipment Skills","3","Rarity 5","250 z"
"","Crit Status Jewel [1]","A decoration that grants the Critical Status skill.","Critical Status Equipment Skills","1","Rarity 3","150 z"
"","Crit Status Jewel II [2]","A decoration that grants the Critical Status skill.","Critical Status Equipment Skills","2","Rarity 4","200 z"
"","Crit Stat Jwl III [3]","A decoration that grants the Critical Status skill.","Critical Status Equipment Skills","3","Rarity 5","250 z"
"","Crit Stat/Handicraft Jwl [3]","A decoration that grants the Critical Status and Handicraft skills.…","Critical Status Equipment Skills","3","Rarity 6","300 z"
"","Crit Stat/Precise Jwl [3]","A decoration that grants the Critical Status and Ballistics skills.…","Critical Status Equipment Skills","3","Rarity 6","300 z"
"","Crit Status/KO Jwl [3]","A decoration that grants the Critical Status and Slugger skills.…","Critical Status Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Crit Stat/Ironwall Jwl [3]","A decoration that grants the Critical Status and Guard skills.…","Critical Status Equipment Skills","3","Rarity 6","300 z"
"","Charge Jewel [1]","A decoration that grants the Charge Master skill.","Charge Master Equipment Skills","1","Rarity 3","150 z"
"","Charge Jewel II [2]","A decoration that grants the Charge Master skill.","Charge Master Equipment Skills","2","Rarity 4","200 z"
"","Charge Jewel III [3]","A decoration that grants the Charge Master skill.","Charge Master Equipment Skills","3","Rarity 5","250 z"
"","Charge/Handicraft Jwl [3]","A decoration that grants the Charge Master and Handicraft skills.…","Charge Master Equipment Skills","3","Rarity 7","350 z"
"","Charge/KO Jewel [3]","A decoration that grants the Charge Master and Slugger skills.…","Charge Master Equipment Skills","3","Rarity 7","350 z"
"","Handicraft Jewel [1]","A decoration that grants the Handicraft skill.","Handicraft Equipment Skills","1","Rarity 3","150 z"
"","Handicraft Jewel II [2]","A decoration that grants the Handicraft skill.","Handicraft Equipment Skills","2","Rarity 4","200 z"
"","Handicraft Jwl III [3]","A decoration that grants the Handicraft skill.","Handicraft Equipment Skills","3","Rarity 5","250 z"
"","Razor Sharp Jewel [1]","A decoration that grants the Razor Sharp skill.","Razor Sharp Equipment Skills","1","Rarity 3","150 z"
"","Razor Sharp Jewel II [2]","A decoration that grants the Razor Sharp skill.","Razor Sharp Equipment Skills","2","Rarity 4","200 z"
"","Rzr Sharp Jwl III [3]","A decoration that grants the Razor Sharp skill.","Razor Sharp Equipment Skills","3","Rarity 5","250 z"
,,,,,,
"","Rzr Sharp/Blaze Jwl [3]","A decoration that grants the Razor Sharp and Fire Attack skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Rzr Sharp/Stream Jwl [3]","A decoration that grants the Razor Sharp and Water Attack skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Rzr Sharp/Frost Jwl [3]","A decoration that grants the Razor Sharp and Ice Attack skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Rzr Sharp/Bolt Jwl [3]","A decoration that grants the Razor Sharp and Thunder Attack skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Rzr Sharp/Dragon Jwl [3]","A decoration that grants the Razor Sharp and Dragon Attack skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Rzr Sharp/Handicraft Jwl [3]","A decoration that grants the Razor Sharp and Handicraft skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Razor Sharp/KO Jwl [3]","A decoration that grants the Razor Sharp and Slugger skills.…","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Rzr Sharp/Ironwall Jwl [3]","A decoration that grants the Razor Sharp and Guard skills.","Razor Sharp Equipment Skills","3","Rarity 7","350 z"
"","Sharp Jewel [1]","A decoration that grants the Protective Polish skill.","Protective Polish Equipment Skills","1","Rarity 3","150 z"
"","Sharp Jewel II [2]","A decoration that grants the Protective Polish skill.","Protective Polish Equipment Skills","2","Rarity 4","200 z"
"","Sharp Jewel III [3]","A decoration that grants the Protective Polish skill.","Protective Polish Equipment Skills","3","Rarity 5","250 z"
"","Mind's Eye Jewel [1]","A decoration that grants the Mind’s Eye skill.","Mind's Eye Equipment Skills","1","Rarity 3","150 z"
,,,,,,
"","Mind's Eye Jewel II [2]","A decoration that grants the Mind’s Eye skill.","Mind's Eye Equipment Skills","2","Rarity 4","200 z"
"","Mind's Eye Jwl III [3]","A decoration that grants the Mind’s Eye skill.","Mind's Eye Equipment Skills","3","Rarity 5","250 z"
"","Blunt Jewel [1]","A decoration that grants the Bludgeoner skill.","Bludgeoner Equipment Skills","1","Rarity 3","150 z"
"","Blunt Jewel II [2]","A decoration that grants the Bludgeoner skill.","Bludgeoner Equipment Skills","2","Rarity 4","200 z"
"","Blunt Jewel III [3]","A decoration that grants the Bludgeoner skill.","Bludgeoner Equipment Skills","3","Rarity 5","250 z"
"","Mastery Jewel [3]","A decoration that grants the Master’s Touch skill.","Master's Touch Equipment Skills","3","Rarity 5","250 z"
"","Forceshot Jewel [3]","A decoration that grants the Normal Shots skill.","Normal Shots Equipment Skills","3","Rarity 5","250 z"
"","Pierce Jewel [3]","A decoration that enhances the Piercing Shots skill.","Piercing Shots Equipment Skills","3","Rarity 5","250 z"
"","Spread Jewel [3]","A decoration that grants the Spread/Power Shots skill.","Spread/Power Shots Equipment Skills","3","Rarity 5","250 z"
"","Precise Jewel [1]","A decoration that grants the Ballistics skill.","Ballistics Equipment Skills","1","Rarity 3","150 z"
"","Precise Jewel II [2]","A decoration that grants the Ballistics skill.","Ballistics Equipment Skills","2","Rarity 4","200 z"
"","Precise Jewel III [3]","A decoration that grants the Ballistics skill.","Ballistics Equipment Skills","3","Rarity 5","250 z"
,,,,,,
"","Salvo Jewel [3]","A decoration that grants the Rapid Fire Up skill.","Rapid Fire Up Equipment Skills","3","Rarity 5","250 z"
"","Opener Jewel [1]","A decoration that grants the Opening Shot skill.","Opening Shot Equipment Skills","1","Rarity 3","150 z"
"","Opener Jewel II [2]","A decoration that grants the Opening Shot skill.","Opening Shot Equipment Skills","2","Rarity 4","200 z"
"","Opener Jewel III [3]","A decoration that grants the Opening Shot skill.","Opening Shot Equipment Skills","3","Rarity 5","250 z"
"","Opener/Blaze Jewel [3]","A decoration that grants the Opening Shot and Fire Attack skills.…","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Opener/Stream Jwl [3]","A decoration that grants the Opening Shot and Water Attack skills.…","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Opener/Frost Jewel [3]","A decoration that grants the Opening Shot and Ice Attack skills.…","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Opener/Bolt Jewel [3]","A decoration that grants the Opening Shot and Thunder Attack…","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Opener/Dragon Jewel [3]","A decoration that grants the Opening Shot and Dragon Attack skills.…","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Opener/Precise Jewel [3]","A decoration that grants the Opening Shot and Ballistics skills.…","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Opener/Ironwall Jwl [3]","A decoration that grants the Opening Shot and Guard skills. …","Opening Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier Jewel [1]","A decoration that grants the Tetrad Shot skill.","Tetrad Shot Equipment Skills","1","Rarity 3","150 z"
,,,,,,
"","Bandolier Jewel II [2]","A decoration that grants the Tetrad Shot skill.","Tetrad Shot Equipment Skills","2","Rarity 4","200 z"
"","Bandolier Jewel III [3]","A decoration that grants the Tetrad Shot skill.","Tetrad Shot Equipment Skills","3","Rarity 5","250 z"
"","Bandolier/Blaze Jwl [3]","A decoration that grants the Tetrad Shot and Fire Attack skills.…","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier/Stream Jwl [3]","A decoration that grants the Tetrad Shot and Water Attack skills.…","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier/Frost Jwl [3]","A decoration that grants the Tetrad Shot and Ice Attack skills.…","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier/Bolt Jwl [3]","A decoration that grants the Tetrad Shot and Thunder Attack skills.…","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier/Dragon Jwl [3]","A decoration that grants the Tetrad Shot and Dragon Attack skills.…","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier/Precise Jwl [3]","A decoration that grants the Tetrad Shot and Ballistics skills.…","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Bandolier/Ironwall Jwl [3]","A decoration that grants the Tetrad Shot and Guard skills.","Tetrad Shot Equipment Skills","3","Rarity 7","350 z"
"","Trueshot Jewel [1]","A decoration that grants the Special Ammo Boost skill.","Special Ammo Boost Equipment Skills","1","Rarity 3","150 z"
"","Trueshot Jewel II [2]","A decoration that grants the Special Ammo Boost skill.","Special Ammo Boost Equipment Skills","2","Rarity 4","200 z"
"","Poisoncoat Jewel [2]","A decoration that grants the Poison Functionality skill.","Poison Functionality Equipment Skills","2","Rarity 4","200 z"
,,,,,,
"","Paracoat Jewel [3]","A decoration that grants the Para Functionality skill.","Para Functionality Equipment Skills","3","Rarity 5","250 z"
"","Sleepcoat Jewel [3]","A decoration that grants the Sleep Functionality skill.","Sleep Functionality Equipment Skills","3","Rarity 5","250 z"
"","Blastcoat Jewel [2]","A decoration that grants the Blast Functionality skill.","Blast Functionality Equipment Skills","2","Rarity 4","200 z"
"","Draincoat Jewel [2]","A decoration that grants the Exhaust Functionality skill.","Exhaust Functionality Equipment Skills","2","Rarity 4","200 z"
"","Focus Jewel [1]","A decoration that grants the Focus skill.","Focus Equipment Skills","1","Rarity 3","150 z"
"","Focus Jewel II [2]","A decoration that grants the Focus skill.","Focus Equipment Skills","2","Rarity 4","200 z"
"","Focus Jewel III [3]","A decoration that grants the Focus skill.","Focus Equipment Skills","3","Rarity 5","250 z"
"","Focus/Blaze Jewel [3]","A decoration that grants the Focus and Fire Attack skills.","Focus Equipment Skills","3","Rarity 7","350 z"
"","Focus/Stream Jewel [3]","A decoration that grants the Focus and Water Attack skills. …","Focus Equipment Skills","3","Rarity 7","350 z"
"","Focus/Frost Jewel [3]","A decoration that grants the Focus and Ice Attack skills.","Focus Equipment Skills","3","Rarity 7","350 z"
"","Focus/Bolt Jwl [3]","A decoration that grants the Focus and Thunder Attack skills.…","Focus Equipment Skills","3","Rarity 7","350 z"
"","Focus/Dragon Jewel [3]","A decoration that grants the Focus and Dragon Attack skills.…","Focus Equipment Skills","3","Rarity 7","350 z"
,,,,,,
