"Title","Skill","SlotLevel","Rarity","Price","Description"
"Climber Jewel [1]","Cliffhanger","1","Rarity 3","150 z","A decoration that grants the Cliffhanger skill."
"Friendship Jewel [1]","Wide-Range","1","Rarity 3","150 z","A decoration that grants the Wide-Range skill."
"Maintenance Jewel [2]","Tool Specialist","2","Rarity 4","200 z","A decoration that grants the Tool Specialist skill."
"Bomber Jewel [1]","Bombardier","1","Rarity 3","150 z","A decoration that grants the Bombardier skill."
"Fungiform Jewel [2]","Mushroomancer","2","Rarity 4","200 z","A decoration that grants the Mushroomancer skill."
"Enduring Jewel [1]","Item Prolonger","1","Rarity 3","150 z","A decoration that grants the Item Prolonger skill."
"","","","","",""
"Satiated Jewel [1]","Free Meal","1","Rarity 3","150 z","A decoration that grants the Free Meal skill."
"Flash Jewel [1]","Blindsider","1","Rarity 3","150 z","A decoration that grants the Blindsider skill."
"Botany Jewel [1]","Botanist","1","Rarity 3","150 z","A decoration that grants the Botanist skill."
"Geology Jewel [1]","Geologist","1","Rarity 3","150 z","A decoration that grants the Geologist skill."
"Specimen Jewel [1]","Entomologist","1","Rarity 3","150 z","A decoration that grants the Entomologist skill."
"Ranger Jewel [1]","Outdoorsman","1","Rarity 3","150 z","A decoration that grants the Outdoorsman skill."
