"Title","Skills","Rarity","Price","HR","ForgingMaterials","UnlockRequirements"
"Challenger Charm I","Agitator","Rarity 5","3,000 z","16 HR","6× Rathian Scale+ 3× Rathian Webbing 5× Kut-Ku Scale+ 1× Wyvern Gem","Rathian"
"Challenger Charm II","Agitator","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Uth Duna Watergem 1× Guardian Rathalos Ruby","Hunter Symbol III"
"Convert Charm I","Convert Element","Rarity 7","9,000 z","","5× Hunter Symbol III 4× Arkveld Scale+ 3× Arkveld Horn+ 1× Arkveld Gem","Hunter Symbol III"
"Counter Charm I","Counterstrike","Rarity 5","3,000 z","16 HR","3× Rathian Webbing 3× Gypceros 5× Talioth Scale+ 1× Bird Wyvern Gem","Rathian"
"Counter Charm II","Counterstrike","Rarity 6","6,000 z","21 HR","6× Blangonga Pelt+ 3× Blangonga Whisker 5× Blango Pelt+ 1× Beast Gem","Blangonga"
"Counter Charm III","Counterstrike","Rarity 7","9,000 z","","3× Hunter Symbol III 3× Nu Udra Horn+ 4× Guardian Rathalos Wing 1× Rathalos Ruby","Hunter Symbol III"
"Counterattack Charm I","Adrenaline Rush","Rarity 5","3,000 z","16 HR","4× Hirabami Webbing+ 3× Hirabami Tail Claw+ 2× Lala Barina Stinger+ 1× Wyvern Gem","Hirabami Scale+"
"Counterattack Charm II","Adrenaline Rush","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Rathalos Ruby 1× Gore Magala Nyctgem","Hunter Symbol III"
"Defense Charm I","Defense Boost","Rarity 2","500 z","","1× Doshaguma Claw 2× Balahara Shell 1× Balahara Skull 2× Machalite Ore","A Feast in the Deep Assignments"
"Defense Charm II","Defense Boost","Rarity 4","1,500 z","","2× Guardian Doshaguma Hide 1× Guardian Doshaguma Claw 1× Guardian Doshaguma Fang 2× Dragonite Ore","Repel the Guardian Arkveld Assignments"
"Defense Charm III","Defense Boost","Rarity 5","3,000 z","9 HR","3× Chatacabra Carapace 4× Chatacabra Scale+ 2× Quematrice Crest+ 1× Firecell Stone","Chatacabra Scale+"
"Defense Charm IV","Defense Boost","Rarity 6","6,000 z","21 HR","2× Gravios Carapace 2× Gravios Wing 4× Guardian Doshaguma Hide+ 2× Guardian Doshaguma Claw+","Gravios"
"","","","","","",""
"Descent Charm I","Ambush","Rarity 4","1,500 z","","2× Golden Corneum 1× Xu Wu Tentacle 1× Xu Wu Fang 1× Firestone","Xu Wu"
"Descent Charm II","Ambush","Rarity 6","6,000 z","21 HR","6× Golden Corneum+ 4× Xu Wu Tentacle+ 2× Xu Wu Fang+ 1× Xu Wu Umbragem","Xu Wu Hide+"
"Dragon Charm I","Dragon Resistance","Rarity 3","500 z","3 HR","2× Lala Barina Shell 1× Lala Barina Mucus 2× Earth Crystal",""
"Dragon Charm II","Dragon Resistance","Rarity 4","1,500 z","5 HR","2× Guardian Doshaguma Fur 1× Guardian Doshaguma Claw 2× Vespoid Shell 1× Firestone","Repel the Guardian Arkveld Assignments"
"Dragon Charm III","Dragon Resistance","Rarity 5","3,000 z","16 HR","4× Nerscylla Carapace 2× Nerscylla Shear 2× Vespoid Carapace 1× Novacrystal","Nerscylla Carapace"
"Earplugs Charm I","Earplugs","Rarity 6","6,000 z","21 HR","6× Rathalos Carapace 4× Rathalos Wing 2× Kut-Ku Ear 1× Rathalos Ruby","Rathalos Carapace"
"Escape Charm I","Bind Resistance","Rarity 4","1,500 z","","2× Nerscylla Shell 1× Nerscylla Claw 1× Vespoid Shell 2× Earth Crystal","Nerscylla"
"Escape Charm II","Bind Resistance","Rarity 6","6,000 z","21 HR","4× Guardian Ebony Sinew+ 3× Guardian Ebony Claw+ 2× Nerscylla Spike+ 4× Carbalite Ore","Guardian Ebony Scale+"
"Escape Charm III","Bind Resistance","Rarity 7","9,000 z","31 HR","4× Jin Dahaad Iceplate 3× Jin Dahaad Claw+ 4× Blangonga Fang+ 4× Freezer Sac","Jin Dahaad Scale+"
"Evasion Charm I","Evade Window","Rarity 4","1,500 z","5 HR","2× Hirabami Scale 1× Hirabami Tail Claw 1× Doshaguma Claw 2× Icium",""
"Evasion Charm II","Evade Window","Rarity 5","3,000 z","16 HR","6× Hirabami Hide+ 3× Hirabami Tail Claw+ 5× Herbivore Carapace 1× Firecell Stone","Hirabami Scale+"
"Evasion Charm III","Evade Window","Rarity 6","6,000 z","21 HR","6× Rathalos Scale+ 4× Rathalos Wing 3× Ajarakan Ridge+ 1× Rathalos Ruby","Rathalos Scale+"
"","","","","","",""
"Exploiter Charm I","Weakness Exploit","Rarity 5","3,000 z","16 HR","6× Rathian Carapace 3× Rathian Spike+ 4× Chatacabra Carapace 1× Rathian Ruby","Rathian Carapace"
"Exploiter Charm II","Weakness Exploit","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Arkveld Gem 1× Guardian Rathalos Ruby","Hunter Symbol III"
"Extension Charm I","Item Prolonger","Rarity 3","500 z","3 HR","2× Chatacabra Scale 1× Chatacabra Hide 1× Herbivore Shell 2× Iron Ore",""
"Extension Charm II","Item Prolonger","Rarity 4","1,500 z","5 HR","2× Spotted Poison Hide 1× Doshaguma Hide 2× Bulaqchi Shell 2× Dragonite Ore",""
"Extension Charm III","Item Prolonger","Rarity 5","3,000 z","9 HR","4× Chatacabra Scale+ 2× Chatacabra Jaw+ 2× Lala Barina Mucus+ 1× Novacrystal","Chatacabra Scale+"
"Fire Charm I","Fire Resistance","Rarity 2","500 z","","2× Quematrice Scale 1× Quematrice Igniter 2× Iron Ore","A Feast in the Deep Assignments"
"Fire Charm II","Fire Resistance","Rarity 4","1,500 z","5 HR","2× Ajarakan Scale 1× Ajarakan Jewel 2× Kranodath Skull 1× Firestone",""
"Fire Charm III","Fire Resistance","Rarity 5","3,000 z","16 HR","4× Quematrice Scale+ 3× Quematrice Igniter+ 3× Talioth Scale+ 1× Firecell Stone","Quematrice Scale+"
"Fitness Charm I","Constitution","Rarity 4","1,500 z","5 HR","2× Ajarakan Scale 1× Ajarakan Jewel 1× Ajarakan Ridge 1× Kranodath Skull",""
"Fitness Charm II","Constitution","Rarity 5","3,000 z","9 HR","6× Kut-Ku Scale+ 4× Kut-Ku Wing 3× Kut-Ku Ear 5× Carbalite Ore",""
"Fitness Charm III","Constitution","Rarity 6","6,000 z","21 HR","4× Guardian Ebony Claw+ 3× Guardian Ebony Fang+ 3× Guardian Doshaguma Claw+ 1× Beast Gem","Guardian Ebony Scale+"
"Fitness Charm IV","Constitution","Rarity 7","9,000 z","","4× Gore Magala Wing+ 2× Gore Magala Tail 1× Guardian Ebony Gem 1× Gore Magala Nyctgem","Gore Magala"
"","","","","","",""
"Foray Charm I","Foray","Rarity 4","1,500 z","","2× Spotted Poison Hide 1× Lala Barina Floret 2× Vespoid Wing 2× Earth Crystal","Rompopolo"
"Foray Charm II","Foray","Rarity 6","6,000 z","31 HR","3× Hunter Symbol II 4× Gravios Pleura+ 3× Rathian Spike+ 1× Rathian Ruby","Hunter Symbol II"
"Friendship Charm I","Wide-Range","Rarity 3","500 z","3 HR","2× Rompopolo Hide 1× Spotted Poison Hide 1× Wingdrake Hide 2× Earth Crystal",""
"Friendship Charm II","Wide-Range","Rarity 4","1,500 z","5 HR","2× Hirabami Hide 1× Hirabami Tail Claw 2× Herbivore Shell 2× Machalite Ore",""
"Friendship Charm III","Wide-Range","Rarity 4","1,500 z","5 HR","3× Guardian Rathalos Scale 1× Guardian Rathalos Tail 3× Comaqchi Shell 2× Dragonite Ore","Repel the Guardian Arkveld Assignments"
"Friendship Charm IV","Wide-Range","Rarity 5","3,000 z","16 HR","3× Hirabami Tail Claw+ 4× Spotted Poison Hide+ 5× Wingdrake Hide+ 1× Wyvern Gem","Hirabami Scale+"
"Fury Charm I","Resentment","Rarity 5","3,000 z","16 HR","6× Nerscylla Carapace 4× Nerscylla Spike+ 3× Rompopolo Beak+ 1× Wyvern Gem","Nerscylla Carapace"
"Fury Charm II","Resentment","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Nu Udra Flamegem 1× Ajarakan Medulla","Hunter Symbol III"
"Geology Charm I","Geologist","Rarity 2","500 z","","2× Balahara Scale 1× Balahara Shell 2× Sturdy Bone","A Feast in the Deep Assignments"
"Geology Charm II","Geologist","Rarity 4","1,500 z","5 HR","2× Rompopolo Claw 2× Rompopolo Beak 2× Machalite Ore 2× Dragonite Ore",""
"Geology Charm III","Geologist","Rarity 5","3,000 z","16 HR","6× Balahara Scale+ 4× Balahara Skull+ 1× Novacrystal 1× Wyvern Gem","Balahara Scale+"
"Glutton's Charm I","Speed Eating","Rarity 2","500 z","","2× Doshaguma Fur 1× Doshaguma Fang 1× Chatacabra Scale 1× Brute Bone","A Feast in the Deep Assignments"
"","","","","","",""
"Glutton's Charm II","Speed Eating","Rarity 4","1,500 z","","1× Guardian Ebony Claw 1× Guardian Ebony Fang 2× Nu Udra Horn 1× Tough Guardian Bone","Guardian Ebony Odogaron"
"Glutton's Charm III","Speed Eating","Rarity 5","3,000 z","21 HR","4× Guardian Fulgur Fang+ 2× Rathian Webbing 4× Chatacabra Jaw+ 1× Rath Medulla","Guardian Fulgur Scale+"
"Grit Charm I","Heroics","Rarity 4","1,500 z","","2× Guardian Doshaguma Fur 1× Guardian Doshaguma Claw 2× Guardian Seikret Feather 2× Dragonite Ore","Repel the Guardian Arkveld Assignments"
"Grit Charm II","Heroics","Rarity 6","6,000 z","21 HR","6× Guardian Doshaguma Fur+ 4× Guardian Doshaguma Claw+ 5× Guardian Seikret Feather+ 1× Firecell Stone","Guardian Doshaguma Fur+"
"Grit Charm III","Heroics","Rarity 7","9,000 z","","3× Hunter Symbol III 3× Rey Dau Bolthorn 4× Xu Wu Claw+ 1× Xu Wu Umbragem","Hunter Symbol III"
"Guard Charm I","Iron Skin","Rarity 3","500 z","3 HR","2× Doshaguma Hide 1× Doshaguma Fang 1× Piragill Fin 2× Iron Ore",""
"Guard Charm II","Iron Skin","Rarity 5","3,000 z","16 HR","6× Balahara Scale+ 3× Balahara Skull+ 5× Piragill Fin+ 4× Carbalite Ore","Balahara Scale+"
"Guard Charm III","Iron Skin","Rarity 6","6,000 z","21 HR","6× Guardian Doshaguma Hide+ 4× Guardian Doshaguma Fang+ 5× Guardian Seikret Feather+ 1× Beast Gem","Guardian Doshaguma Hide+"
"Hope Charm","Self-Improvement Recovery Up","Rarity 5","0 z","","",""
"Hungerless Charm I","Hunger Resistance","Rarity 2","500 z","","2× Balahara Scale 1× Balahara Tail 1× Sharp Fang","A Feast in the Deep Assignments"
"Hungerless Charm II","Hunger Resistance","Rarity 4","1,500 z","5 HR","2× Hirabami Scale 1× Hirabami Webbing 2× Talioth Scale 2× Frozen Icebone",""
"Hungerless Charm III","Hunger Resistance","Rarity 5","3,000 z","9 HR","4× Chatacabra Scale+ 2× Chatacabra Carapace 1× Congalala Fang+ 1× Dragonbone Relic","Chatacabra Scale+"
"","","","","","",""
"Ice Charm I","Ice Resistance","Rarity 3","500 z","3 HR","2× Congalala Pelt 1× Congalala Fang 2× Earth Crystal",""
"Ice Charm II","Ice Resistance","Rarity 4","1,500 z","","2× Hirabami Scale 1× Hirabami Webbing 2× Comaqchi Shell 2× Icium","Hirabami"
"Ice Charm III","Ice Resistance","Rarity 5","3,000 z","16 HR","4× Hirabami Scale+ 3× Hirabami Webbing+ 3× Blango Pelt+ 4× Gracium","Hirabami Scale+"
"Imbibe Charm I","Elemental Absorption","Rarity 7","9,000 z","","5× Hunter Symbol III 4× White Arkveld Pelt 2× Arkveld Tail 1× Arkveld Gem","Hunter Symbol III"
"Impact Charm I","Flinch Free","Rarity 3","500 z","3 HR","2× Quematrice Scale 1× Quematrice Hide 2× Kranodath Skull 2× Iron Ore",""
"Impact Charm II","Flinch Free","Rarity 4","1,500 z","5 HR","2× Guardian Rathalos Shell 1× Guardian Rathalos Webbing 2× Piragill Fin 2× Machalite Ore","Repel the Guardian Arkveld Assignments"
"Impact Charm III","Flinch Free","Rarity 5","3,000 z","9 HR","4× Quematrice Scale+ 2× Quematrice Crest+ 4× Piragill Fin+ 1× Dragonbone Relic","Quematrice Scale+"
"Intimidator Charm I","Intimidator","Rarity 3","500 z","3 HR","2× Doshaguma Fur 1× Doshaguma Claw 2× Monster Fluid 2× Iron Ore",""
"Intimidator Charm II","Intimidator","Rarity 5","3,000 z","16 HR","5× Rathian Scale+ 3× Rathian Webbing 3× Monster Broth 4× Carbalite Ore","Rathian"
"Intimidator Charm III","Intimidator","Rarity 6","6,000 z","21 HR","5× Guardian Rathalos Scale+ 3× Guardian Rathalos Wing 1× Guardian Rathalos Tail 2× Firecell Stone","Guardian Rathalos Scale+"
"Leaping Charm I","Evade Extender","Rarity 4","1,500 z","5 HR","2× Balahara Shell 1× Balahara Skull 1× Nerscylla Claw 2× Dragonite Ore",""
"Leaping Charm II","Evade Extender","Rarity 5","3,000 z","16 HR","6× Balahara Carapace 4× Lala Barina Claw+ 5× Talioth Scale+ 1× Wyvern Gem","Balahara Carapace"
"","","","","","",""
"Leaping Charm III","Evade Extender","Rarity 6","6,000 z","21 HR","6× Rathalos Carapace 4× Rathalos Wing 3× Ajarakan Ridge+ 1× Rathalos Ruby","Rathalos"
"Light Eater's Charm I","Free Meal","Rarity 4","1,500 z","5 HR","1× Guardian Doshaguma Fang 2× Doshaguma Claw 1× Talioth Scale 1× Brute Bone","Repel the Guardian Arkveld Assignments"
"Light Eater's Charm II","Free Meal","Rarity 5","3,000 z","9 HR","4× Congalala Pelt+ 2× Congalala Fang+ 3× Conga Pelt+ 1× Quality Bone","Congalala Pelt+"
"Light Eater's Charm III","Free Meal","Rarity 6","6,000 z","21 HR","4× Doshaguma Fur+ 2× Doshaguma Claw+ 4× Ajarakan Scale+ 1× Dragonbone Relic","Doshaguma Fur+"
"Maintenance Charm I","Tool Specialist","Rarity 4","1,500 z","4 HR","2× Uth Duna Scale 1× Uth Duna Cilia 2× Piragill Fin 2× Machalite Ore",""
"Maintenance Charm II","Tool Specialist","Rarity 6","6,000 z","21 HR","6× Gravios Carapace 3× Gravios Skull 2× Vibrant Pelt+ 1× Gravios Medulla","Gravios"
"Maintenance Charm III","Tool Specialist","Rarity 7","9,000 z","","3× Hunter Symbol III 4× Uth Duna Scale+ 2× Uth Duna Tentacle+ 1× Uth Duna Watergem","Hunter Symbol III"
"Marathon Charm I","Marathon Runner","Rarity 4","1,500 z","","2× Guardian Doshaguma Fur 1× Guardian Doshaguma Claw 1× Guardian Doshaguma Fang 1× Guardian Seikret Feather","Repel the Guardian Arkveld Assignments"
"Marathon Charm II","Marathon Runner","Rarity 5","3,000 z","9 HR","4× Rubbery Hide+ 3× Gypceros 3× Chatacabra Scale+ 1× Bird Wyvern Gem","Gypceros"
"Marathon Charm III","Marathon Runner","Rarity 6","6,000 z","","6× Guardian Fulgur Scale+ 4× Guardian Fulgur Fang+ 3× Doshaguma Claw+ 1× Guardian Fulgur Gem","Guardian Fulgur Anjanath"
"Mighty Charm I","Maximum Might","Rarity 5","3,000 z","16 HR","6× Nerscylla Claw+ 3× Nerscylla Shear 3× Gypceros 1× Bird Wyvern Gem","Nerscylla Carapace"
"Mighty Charm II","Maximum Might","Rarity 7","9,000 z","41 HR","5× Hunter Symbol III 3× Hunter Symbol II 1× Xu Wu Umbragem 1× Rey Dau Boltgem","Hunter Symbol III"
"Mushroom Charm I","Mushroomancer","Rarity 4","1,500 z","5 HR","1× Nerscylla Chelicera 2× Congalala Claw 1× Conga Pelt 2× Charred Oilbone",""
"Mushroom Charm II","Mushroomancer","Rarity 6","6,000 z","21 HR","4× Guardian Doshaguma Fang+ 3× Guardian Doshaguma Claw+ 3× Congalala Fang+ 1× Beast Gem","Guardian Doshaguma Fur+"
"Mushroom Charm III","Mushroomancer","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Guardian Fulgur Gem 1× Uth Duna Watergem","Hunter Symbol III"
"Paralysis Charm I","Paralysis Resistance","Rarity 2","500 z","","2× Lala Barina Floret 1× Lala Barina Mucus 1× Vespoid Shell","A Feast in the Deep Assignments"
"Paralysis Charm II","Paralysis Resistance","Rarity 4","1,500 z","","2× Nerscylla Claw 1× Lala Barina Shell 2× Vespoid Wing 2× Charred Oilbone","Nerscylla"
"Paralysis Charm III","Paralysis Resistance","Rarity 5","3,000 z","16 HR","3× Nerscylla Spike+ 4× Lala Barina Floret+ 3× Vespoid Carapace 4× Colossal Bone","Nerscylla Carapace"
"Phoenix Charm I","Coalescence","Rarity 6","6,000 z","21 HR","4× Guardian Rathalos Wing 3× Xu Wu Tentacle+ 5× Guardian Seikret Feather+ 1× Beast Gem","Guardian Rathalos Scale+"
"Phoenix Charm II","Coalescence","Rarity 7","9,000 z","","6× Gore Magala Scale+ 4× Gore Magala Wing+ 3× Gore Magala Feeler+ 1× Gore Magala Nyctgem","Gore Magala"
"Poison Charm I","Poison Resistance","Rarity 3","500 z","","2× Rompopolo Claw 1× Rompopolo Beak 1× Monster Fluid","Rompopolo"
"Poison Charm II","Poison Resistance","Rarity 4","1,500 z","","2× Nerscylla Shell 1× Nerscylla Spike 2× Bulaqchi Shell 2× Sturdy Bone","Nerscylla"
"Poison Charm III","Poison Resistance","Rarity 5","3,000 z","16 HR","4× Rompopolo Claw+ 3× Kut-Ku Carapace 3× Vespoid Carapace 4× Quality Bone","Rompopolo Hide+"
"Power Charm I","Latent Power","Rarity 5","3,000 z","16 HR","6× Hirabami Scale+ 3× Quematrice Igniter+ 3× Quematrice Crest+ 1× Wyvern Gem","Hirabami Scale+"
"","","","","","",""
"Power Charm II","Latent Power","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Rey Dau Boltgem 1× Guardian Fulgur Gem","Hunter Symbol III"
"Recovery Charm I","Recovery Up","Rarity 3","500 z","3 HR","2× Lala Barina Floret 1× Lala Barina Mucus 1× Congalala Pelt 2× Sturdy Bone",""
"Recovery Charm II","Recovery Up","Rarity 4","1,500 z","5 HR","2× Nerscylla Claw 1× Nerscylla Chelicera 1× Spotted Poison Hide 2× Charred Oilbone",""
"Recovery Charm III","Recovery Up","Rarity 5","3,000 z","9 HR","6× Lala Barina Floret+ 4× Lala Barina Mucus+ 3× Giant Beak 1× Bird Wyvern Gem","Lala Barina Floret+"
"Sanity Charm I","Antivirus","Rarity 5","3,000 z","","5× Frenzy Shard 2× Nerscylla Shear 2× Hirabami Tail Claw+ 4× Carbalite Ore","Frenzy Shard"
"Sanity Charm II","Antivirus","Rarity 6","6,000 z","","5× Frenzy Crystal 4× Blangonga Pelt+ 3× Blangonga Whisker 1× Novacrystal","Frenzy Crystal"
"Sanity Charm III","Antivirus","Rarity 7","9,000 z","","6× Gore Magala Scale+ 4× Gore Magala Ripclaw+ 2× Gore Magala Feeler+ 1× Gore Magala Nyctgem","Gore Magala"
"Sheathe Charm I","Quick Sheathe","Rarity 4","1,500 z","5 HR","1× Hirabami Tail Claw 2× Balahara Scale 1× Balahara Skull 2× Dragonite Ore",""
"Sheathe Charm II","Quick Sheathe","Rarity 5","3,000 z","9 HR","4× Spotted Poison Hide+ 3× Rompopolo Beak+ 5× Kranodath Skull+ 1× Ajarakan Marrow","Rompopolo Hide+"
"Sheathe Charm III","Quick Sheathe","Rarity 6","6,000 z","21 HR","4× Guardian Fulgur Fang+ 3× Guardian Fulgur Nosebone+ 3× Guardian Rathalos Wing 1× Guardian Fulgur Gem","Guardian Fulgur Scale+"
"Sleep Charm I","Sleep Resistance","Rarity 3","500 z","3 HR","2× Congalala Claw 1× Congalala Pelt 1× Bulaqchi Shell",""
"Sleep Charm II","Sleep Resistance","Rarity 4","1,500 z","","3× Nerscylla Claw 2× Nerscylla Chelicera 3× Comaqchi Shell 3× Frozen Icebone","Nerscylla"
"","","","","","",""
"Sleep Charm III","Sleep Resistance","Rarity 5","3,000 z","16 HR","4× Nerscylla Claw+ 2× Nerscylla Shear 3× Comaqchi Carapace 4× Quality Bone","Nerscylla Carapace"
"Speed Heal Charm I","Recovery Speed","Rarity 2","500 z","","2× Doshaguma Hide 1× Doshaguma Fang 1× Chatacabra Hide 1× Brute Bone","A Feast in the Deep Assignments"
"Speed Heal Charm II","Recovery Speed","Rarity 4","1,500 z","5 HR","2× Hirabami Hide 1× Hirabami Webbing 1× Lala Barina Certificate 2× Frozen Icebone",""
"Speed Heal Charm III","Recovery Speed","Rarity 5","3,000 z","9 HR","4× Gypceros Wing 1× Gypceros Tail 2× Rompopolo Beak+ 1× Dragonbone Relic","Gypceros"
"Stun Charm I","Stun Resistance","Rarity 3","500 z","3 HR","2× Balahara Skull 1× Balahara Shell 1× Talioth Scale",""
"Stun Charm II","Stun Resistance","Rarity 4","1,500 z","5 HR","2× Ajarakan Ridge 2× Ajarakan Shell 2× Kranodath Skull 2× Sturdy Bone",""
"Stun Charm III","Stun Resistance","Rarity 5","3,000 z","16 HR","4× Balahara Skull+ 3× Balahara Carapace 3× Kranodath Skull+ 4× Dragonbone Relic","Balahara Carapace"
"Surge Charm I","Stamina Surge","Rarity 4","1,500 z","","2× Xu Wu Hide 1× Xu Wu Claw 1× Nu Udra Hide 1× Xu Wu Cerebrospinal Fluid","Xu Wu"
"Surge Charm II","Stamina Surge","Rarity 5","3,000 z","9 HR","4× Rubbery Hide+ 2× Gypceros Tail 2× Lightcrystal 1× Bird Wyvern Gem","Gypceros"
"Surge Charm III","Stamina Surge","Rarity 6","6,000 z","21 HR","6× Golden Corneum+ 4× Xu Wu Claw+ 3× Doshaguma Fang+ 1× Xu Wu Umbragem","Xu Wu Hide+"
"Survival Charm I","Survival Expert","Rarity 3","500 z","3 HR","2× Lala Barina Floret 1× Lala Barina Shell 1× Vespoid Shell",""
"Survival Charm II","Survival Expert","Rarity 5","3,000 z","9 HR","5× Lala Barina Floret+ 3× Lala Barina Carapace 4× Herbivore Carapace 4× Carbalite Ore","Lala Barina Floret+"
"","","","","","",""
"Survival Charm III","Survival Expert","Rarity 6","6,000 z","21 HR","5× Blangonga Pelt+ 3× Blangonga Fang+ 3× Vespoid Innerwing 1× Dragonbone Relic","Blangonga"
"Thunder Charm I","Thunder Resistance","Rarity 3","500 z","","2× Rompopolo Hide 1× Spotted Poison Hide 2× Earth Crystal","Rompopolo"
"Thunder Charm II","Thunder Resistance","Rarity 4","1,500 z","5 HR","2× Rey Dau Scale 1× Rey Dau Wingtalon 2× Bulaqchi Shell 2× Machalite Ore",""
"Thunder Charm III","Thunder Resistance","Rarity 5","3,000 z","16 HR","4× Rompopolo Hide+ 3× Spotted Poison Hide+ 3× Talioth Scale+ 2× Lightcrystal","Rompopolo Hide+"
"Tremor Charm I","Tremor Resistance","Rarity 4","1,500 z","5 HR","2× Ajarakan Shell 1× Ajarakan Ridge 1× Congalala Claw 2× Dragonite Ore",""
"Tremor Charm II","Tremor Resistance","Rarity 5","3,000 z","16 HR","4× Balahara Carapace 6× Chatacabra Hide+ 4× Chatacabra Carapace 4× Carbalite Ore","Balahara Carapace"
"Tremor Charm III","Tremor Resistance","Rarity 6","6,000 z","21 HR","6× Gravios Carapace 3× Gravios Pleura+ 3× Guardian Doshaguma Claw+ 2× Firecell Stone","Gravios"
