"Icon","Title","Description","Crafting Recipe","Where to Find","Other Info","Rewarded From","Used to Craft","Unlocks","Food Bonus","Food Skill","Rarity","Carry Max","Sell Price","Buy Price"
"","Dragonite Ore","Ore sourced from mining outcrops. A rare material coveted for…","","","","A Futile Fight Optional Quests A Hunter in the Void Assignments A Sharp Squad Optional Quests A Vow to Remain Optional Quests Consumer of Void Optional Quests Creeping Flames Optional Quests Dream Eaters Optional Quests Flippant Flatulence Optional Quests Flower of Eternal Rest Optional Quests Small White Feathers Optional Quests Smithy's Seal of Quality Optional Quests Spread Those Wings Optional Quests Talk About Hard Headed! Optional Quests The Black Flame Quietly Manifests Assignments The Pursued and the Pursuer Optional Quests The Rimechain Trial Assignments Time to Exorcise Optional Quests Vespoid Capriccio Optional Quests","Alloy Coil α Waist Alloy Greaves α Legs Alloy Helm α Head Alloy Mail α Chest Alloy Vambraces α Arms Alucanid Kinsects Blessing Charm II Level 2 Defense Charm II Level 2 Extension Charm II Level 2 Friendship Charm III Level 3 Geology Charm II Level 2 Grit Charm I Level 1 Hope Axe III Switch Axe Hope Blade III Great Sword Hope Cannon III Heavy Bowgun Hope Daggers III Dual Blades Hope Edge III Long Sword Hope Glaive III Insect Glaive Hope Gunlance III Gunlance Hope Hammer III Hammer Hope Horn III Hunting Horn Hope Lance III Lance Hope Rifle III Light Bowgun Hope Strongarm III Charge Blade Hope Sword III Sword and Shield Ingot Coil Waist Ingot Greaves Legs Ingot Helm Head Ingot Mail Chest Ingot Vambraces Arms Leaping Charm I Level 1 Quematrice Arco II Bow Quematrice Cuchillo II Sword and Shield Quematrice Culebrina II Gunlance Quematrice Espada II Great Sword Quematrice Lanza II Lance Quematrice Lima II Long Sword Quematrice Silexes II Dual Blades Rigiprayne Kinsects Rompopolo Coil Waist Sheathe Charm I Level 1 Tremor Charm I Level 1 Windchopper Kinsects Windproof Charm I Level 1","","","","Rarity 4","10","480 z","4,800 z"
"","Carbalite Ore","Ore obtained from mining outcrops. Still under research, but…","","","","Annihilating Anguish Optional Quests As Gatekeeper Optional Quests Astonishing Adaptability Optional Quests Blangonga Excursion Optional Quests Continuing Conflict Optional Quests Doshaguma Hunt Optional Quests Fur Damagings Are Dislikeworthy Optional Quests Opposition Optional Quests What We Protect Optional Quests","A Alloy Coil α Waist Alloy Greaves α Legs Alloy Helm α Head Alloy Mail α Chest Alloy Vambraces α Arms B Barina Coil α Waist Barina Coil β Waist Bleed Charm II Level 2 C Cancadaman Kinsects Commission Helm α Head D Damascus Mail α Chest E Empresswing Kinsects Escape Charm II Level 2 F Felyne Alloy Helm α Head Felyne Alloy Mail α Body Felyne Iron Sword α Weapons Fiddlebrix Kinsects Fitness Charm II Level 2 G Grancathar Kinsects Guard Charm II Level 2 Guild Ace Vambraces α Arms H High Metal Braces α Arms High Metal Coil α Waist High Metal Greaves α Legs High Metal Helm α Head High Metal Mail α Chest Hope Axe IV Switch Axe Hope Blade IV Great Sword Hope Cannon IV Heavy Bowgun Hope Daggers IV Dual Blades Hope Edge IV Long Sword Hope Glaive IV Insect Glaive Hope Gunlance IV Gunlance Hope Hammer IV Hammer Hope Horn IV Hunting Horn Hope Lance IV Lance Hope Rifle IV Light Bowgun Hope Strongarm IV Charge Blade Hope Sword IV Sword and Shield I Ingot Coil α Waist Ingot Greaves α Legs Ingot Helm α Head Ingot Mail α Chest Ingot Vambraces α Arms Intimidator Charm II Level 2 M Monarch Alucanid Kinsects P Paladin Lance I Lance Piragill Greaves α Legs Piragill Greaves β Legs Pseudocath Kinsects S Sanity Charm I Level 1 Survival Charm II Level 2 T Tremor Charm II Level 2","","","","Rarity 6","10","680 z","6,800 z"
,,,,,,,,,,,,,,
"","Earth Crystal","Crystallized microbes sourced from mining outcrops. Coveted as…","","","","Beware the Chatacabra Optional Quests Buggin' in the Desert Optional Quests Slimy Situation Assignments","Alloy Coil Waist Alloy Greaves Legs Artian Mail α Chest Blessing Charm I Level 1 Buster Sword I Great Sword Chain Blitz I Light Bowgun Chrome Drill I Lance Dragon Charm I Level 1 Dragon Perforator I Bow Dual Hatchets I Dual Blades Escape Charm I Level 1 Foray Charm I Level 1 Friendship Charm I Level 1 Guild Knight Sabers I Dual Blades Hope Mail α Chest Hope Vambraces α Arms Hyperguard I Charge Blade Ice Charm I Level 1 Ingot Coil Waist Ingot Mail Chest Iron Accelerator I Switch Axe Iron Assault I Heavy Bowgun Iron Beater I Sword and Shield Iron Gale I Insect Glaive Iron Hammer I Hammer Iron Katana I Long Sword Metal Bagpipe I Hunting Horn Thunder Charm I Level 1 Triple Bayonet I Gunlance Water Charm I Level 1","","","","Rarity 4","99","80 z","800 z"
"","Mystery Bone","A weathered bone taken from a bonepile. Erosion has left it too…","","","","A Sharp Sort Optional Quests A Stage of Rose and Thorn Assignments Balahara of the Sandsea Assignments Beware the Chatacabra Optional Quests Buggin' in the Desert Optional Quests Buggin' in the Scarlet Forest Optional Quests Drive Off the Congalala! Assignments Every Rose... Optional Quests Fire Starter Optional Quests Forest Outlaw Optional Quests Hot on Their Tails Assignments Pinnacle of the Pack Assignments Sand Sea Surges Optional Quests Slimy Situation Assignments The Desert is Demanding Optional Quests Tussle in Pink Optional Quests","Bone Axe I Switch Axe Bone Blade I Great Sword Bone Bludgeon I Hammer Bone Coil Waist Bone Greaves Legs Bone Gunlance I Gunlance Bone Hatchets I Dual Blades Bone Helm Head Bone Horn I Hunting Horn Bone Kukri I Sword and Shield Bone Lance I Lance Bone Mail Chest Bone Shooter I Heavy Bowgun Bone Shotel I Long Sword Bone Staff I Insect Glaive Bone Strongarm I Charge Blade Bone Vambraces Arms Chatacabra Greaves Legs Felyne Bone Hammer Weapons Felyne Bone Helm Head Felyne Bone Mail Body Hunter's Bow I Bow Hunter's Rifle I Light Bowgun Vespoid Helm Head Vespoid Mail Chest","","","","Rarity 4","99","1 z","10 z"
"","Sturdy Bone","A rigid bone taken from a bonepile. Durable but light and easy…","","","","A Feast in the Deep Assignments A Fuse Ignited Assignments A Futile Fight Optional Quests A Hunter in the Void Assignments A Merciless Glare Assignments A Sharp Squad Optional Quests A Vow to Remain Optional Quests Ajarakan Ablaze Assignments Buggin' in the Cliffs Optional Quests Consumer of Void Optional Quests Creeping Flames Optional Quests Dance of Shadows Optional Quests Dream Eaters Optional Quests Fight or Flight Assignments Fleet Flight Optional Quests Flippant Flatulence Optional Quests Flower of Eternal Rest Optional Quests March of the Kranodath Optional Quests Oilwell Basin Blast Optional Quests Scorching Simian Optional Quests Small White Feathers Optional Quests Smithy's Seal of Quality Optional Quests Spread Those Wings Optional Quests Sultan of the Sand Optional Quests Talk About Hard Headed! Optional Quests The Black Flame Quietly Manifests Assignments The Pursued and the Pursuer Optional Quests The Quiet, Cunning Assassin Assignments The Rimechain Trial Assignments Time to Exorcise Optional Quests Veiled by the Tide Optional Quests Vespoid Capriccio Optional Quests","Bone Axe II Switch Axe Bone Blade II Great Sword Bone Bludgeon II Hammer Bone Gunlance II Gunlance Bone Hatchets II Dual Blades Bone Horn II Hunting Horn Bone Kukri II Sword and Shield Bone Lance II Lance Bone Shooter II Heavy Bowgun Bone Shotel II Long Sword Bone Staff II Insect Glaive Bone Strongarm II Charge Blade Doshaguma Coil Waist F Hope Hammer α Weapons Felyne Hope Helm α Head Felyne Hope Suit α Body Foebeetle Kinsects Geology Charm I Level 1 Gullshad Kinsects Hope Coil α Waist Hope Greaves α Legs Hope Mail α Chest Hope Mask α Head Hope Vambraces α Arms Hunter's Bow II Bow Hunter's Rifle II Light Bowgun Ladytarge Kinsects Poison Charm II Level 2 Recovery Charm I Level 1 Stun Charm II Level 2","","","","Rarity 4","99","500 z","5,000 z"
"","Brute Bone","A sturdy bone from a beast. Easy to use in crafting.","","","","","Botany Charm II Level 2 Doshaguma Greaves Legs Glutton's Charm I Level 1 Light Eater's Charm I Level 1 Speed Heal Charm I Level 1","","","","Rarity 4","99","200 z","2,000 z"
"","Colossal Bone","A massive bone from a beast. Carefully cut out and used for crafting.…","","","","","Battle Coil α Waist Battle Mail α Chest Battle Vambraces α Arms Blango Helm α Head Blango Helm β Head Bone Axe IV Switch Axe Bone Blade IV Great Sword Bone Bludgeon IV Hammer Bone Gunlance IV Gunlance Bone Hatchets IV Dual Blades Bone Horn IV Hunting Horn Bone Kukri IV Sword and Shield Bone Lance IV Lance Bone Shooter IV Heavy Bowgun Bone Shotel IV Long Sword Bone Staff IV Insect Glaive Bone Strongarm IV Charge Blade Death Stench Bowels α Waist Death Stench Heel α Legs Dober Helm α Head Dober Mail α Chest Hunter's Bow IV Bow Hunter's Rifle IV Light Bowgun Paralysis Charm III Level 3","","","","Rarity 6","99","425 z","4,250 z"
"","Dragonbone Relic","A high-quality bone taken from a bonepile. The remains of a dragon…","","","","Awaking From a Dream Assignments Echoing from the Cliffs Optional Quests Roaring Rey Dau Assignments Scorching the Earth Once More Assignments Sinister Sneer Optional Quests The Chains of Life Optional Quests The Struggle to Survive Optional Quests Troublemakers Optional Quests When the Dust Settles... Optional Quests","A Aerial Glaive Insect Glaive Artian Vambraces α Arms B Battle Coil α Waist Bone Slasher Great Sword Bone Smasher Switch Axe Botany Charm IV Level 4 C Chief Kukri Sword and Shield D Dober Mail α Chest F Freezer Speartuna Great Sword G G. Veldian Arcum II Bow G. Veldian Ensis II Long Sword G. Veldian Gladius II Great Sword G. Veldian Harpes II Dual Blades G. Veldian Hasta II Gunlance G. Veldian Impetum II Light Bowgun G. Veldian Labrys II Charge Blade G. Veldian Lancea II Lance G. Veldian Malleus II Hammer G. Veldian Mucro II Sword and Shield G. Veldian Securis II Switch Axe G. Veldian Sibilus II Hunting Horn G. Veldian Tormentum II Heavy Bowgun G. Veldian Trudis II Insect Glaive Giant Jawblade Great Sword Great Bone Gunlance Gunlance H Hard Bone Lance Lance Hard Bone Shotel Long Sword Hard Bone Strongarm Charge Blade Hardened Bone Horn Hunting Horn Heavy Bone Bludgeon Hammer Heavy Shooter Heavy Bowgun Hungerless Charm III Level 3 Hunter's Stoutbow Bow I Impact Charm III Level 3 L Light Eater's Charm III Level 3 P Power Rifle Light Bowgun R Rathalos Mail α Chest Rathalos Mail β Chest Rathian Greaves α Legs Rathian Greaves β Legs S Speed Heal Charm III Level 3 Stun Charm III Level 3 Survival Charm III Level 3 U Udra Mirehelm α Head Udra Mirehelm β Head Uth Dalgap II Heavy Bowgun Uth Falarmata II Gunlance Uth Khlunda II Long Sword Uth Khviluk II Bow Uth Ngarpatu II Dual Blades Uth Olacha II Switch Axe Uth Valeroje II Charge Blade W Wild Hatchets Dual Blades","","","","Rarity 7","99","1,600 z","16,000 z"
"","Balahara Shell","A Balahara shell. The fulgurite it has absorbed enhances its…","","","","","Balahara Blade II Sword and Shield Balahara Coil Waist Balahara Exploder II Gunlance Balahara Glaive II Insect Glaive Balahara Greaves Legs Balahara Hammer II Hammer Balahara Horn II Hunting Horn Balahara Lance II Lance Balahara Mail Chest Defense Charm I Level 1 Felyne Balahara Mech Body Geology Charm I Level 1 Leaping Charm I Level 1 Stun Charm I Level 1","","","","Rarity 4","99","480 z","4,800 z"
"","Balahara Scale","A Balahara scale. The erosion caused by constant digging limits…","","","","","Balahara Blade I Sword and Shield Balahara Coil Waist Balahara Exploder I Gunlance Balahara Glaive I Insect Glaive Balahara Hammer I Hammer Balahara Helm Head Balahara Horn I Hunting Horn Balahara Lance I Lance Balahara Mail Chest Felyne Balahara Helm Head Geology Charm I Level 1 Hungerless Charm I Level 1 Sheathe Charm I Level 1 Water Charm I Level 1","","","","Rarity 4","99","320 z","3,200 z"
"","Balahara Skull","The skull of a Balahara. Stronger than most, it’s built to withstand…","","","","","Balahara Blade I Sword and Shield Balahara Exploder I Gunlance Balahara Glaive I Insect Glaive Balahara Greaves Legs Balahara Hammer I Hammer Balahara Helm Head Balahara Horn I Hunting Horn Balahara Lance I Lance Balahara Vambraces Arms Defense Charm I Level 1 Felyne Balahara Drill Weapons Leaping Charm I Level 1 Sheathe Charm I Level 1 Stun Charm I Level 1 Water Charm I Level 1","","","","Rarity 4","99","576 z","5,760 z"
"","Balahara Tail","A Balahara tail. Its unique, twisted shape allows it to propel…","","","","","Balahara Blade II Sword and Shield Balahara Exploder II Gunlance Balahara Glaive II Insect Glaive Balahara Hammer II Hammer Balahara Horn II Hunting Horn Balahara Lance II Lance Balahara Mail Chest Balahara Vambraces Arms Balahara Vambraces α Arms Balahara Vambraces β Arms Hungerless Charm I Level 1","","","","Rarity 4","99","640 z","6,400 z"
"","Chatacabra Jaw","The mandible plating of a Chatacabra. Hard protrusions stud the…","","","","","Chata Clobberer I Hammer Chata Club I Sword and Shield Chata Glaive I Insect Glaive Chata Sheller I Heavy Bowgun Chata Strongarm I Charge Blade Chatacabra Coil Waist Chatacabra Greaves Legs Chatacabra Helm Head Felyne Chata Clobberer Weapons","","","","Rarity 4","10","360 z","3,600 z"
"","Chatacabra Hide","The thick hide of a Chatacabra. Elastic and easy to mold thanks…","","","","","Chata Clobberer I Hammer Chata Club I Sword and Shield Chata Glaive I Insect Glaive Chata Sheller I Heavy Bowgun Chata Strongarm I Charge Blade Chatacabra Mail Chest Chatacabra Vambraces Arms Extension Charm I Level 1 F Cabra Hood Head Speed Heal Charm I Level 1","","","","Rarity 4","10","300 z","3,000 z"
,,,,,,,,,,,,,,
"","Chatacabra Shell","Plating that covers a Chatacabra’s forelimbs. A lifetime of licking…","","","","","Chata Clobberer II Hammer Chata Club II Sword and Shield Chata Glaive II Insect Glaive Chata Sheller II Heavy Bowgun Chata Strongarm II Charge Blade Chatacabra Greaves Legs Chatacabra Mail Chest Chatacabra Vambraces Arms","","","","Rarity 4","10","400 z","4,000 z"
"","Chatacabra Scale","A jagged scale from a Chatacabra’s hide, especially tough and…","","","","","Blessing Charm I Level 1 Chata Clobberer I Hammer Chata Club I Sword and Shield Chata Glaive I Insect Glaive Chata Sheller I Heavy Bowgun Chata Strongarm I Charge Blade Chatacabra Coil Waist Chatacabra Helm Head Chatacabra Mail Chest Extension Charm I Level 1 Felyne Cabra Jumpsuit Body Glutton's Charm I Level 1","","","","Rarity 4","10","200 z","2,000 z"
"","Quematrice Scale","The scale of a Quematrice. Its fine texture acts as a natural…","","","","","Blessing Charm I Level 1 Felyne Quema Mail Body Fire Charm I Level 1 Impact Charm I Level 1 Quematrice Arco I Bow Quematrice Braces Arms Quematrice Cuchillo I Sword and Shield Quematrice Culebrina I Gunlance Quematrice Espada I Great Sword Quematrice Greaves Legs Quematrice Lanza I Lance Quematrice Lima I Long Sword Quematrice Silexes I Dual Blades","","","","Rarity 4","10","220 z","2,200 z"
"","Quematrice Hide","The hide of a Quematrice. Quite thick despite its wrinkly form,…","","","","","Blast Charm I Level 1 Impact Charm I Level 1 Quematrice Coil Waist Quematrice Greaves Legs","","","","Rarity 4","10","330 z","3,300 z"
"","Quematrice Crest","The crest of a Quematrice. Its flamboyant red color serves as…","","","","","Felyne Quema Helm Head Quematrice Arco I Bow Quematrice Coil Waist Quematrice Cuchillo I Sword and Shield Quematrice Culebrina I Gunlance Quematrice Espada I Great Sword Quematrice Greaves Legs Quematrice Lanza I Lance Quematrice Lima I Long Sword Quematrice Mail Chest Quematrice Silexes I Dual Blades","","","","Rarity 4","10","484 z","4,840 z"
"","Quematrice Tail","The tail of a Quematrice. Its many pleats scrape against each…","","","","","Quematrice Arco II Bow Quematrice Cuchillo II Sword and Shield Quematrice Culebrina II Gunlance Quematrice Espada II Great Sword Quematrice Helm Head Quematrice Lanza II Lance Quematrice Lima II Long Sword Quematrice Mail Chest Quematrice Mail α Chest Quematrice Mail β Chest Quematrice Silexes II Dual Blades","","","","Rarity 4","10","440 z","4,400 z"
"","Wyvern Gem","Throughout a wyvern’s life, impurities gather and form this peculiar…","","","","","A Arkvulcan Vambraces α Arms Arkvulcan Vambraces β Arms B Balahara Blade IV Sword and Shield Balahara Exploder IV Gunlance Balahara Glaive IV Insect Glaive Balahara Hammer IV Hammer Balahara Horn IV Hunting Horn Balahara Lance IV Lance Blessing Charm III Level 3 Blight Charm II Level 2 C Challenger Charm I Level 1 Chrome Accelerator Switch Axe Chrome Gale Insect Glaive Chrome Lance Lance Counterattack Charm I Level 1 D Dahaad Shardhelm α Head Dahaad Shardhelm β Head Damascus Mail α Chest Dear Lutemis II Charge Blade Dragonking Eyepatch α Head Dragonmaiden Axe II Switch Axe Dual Cleavers Dual Blades F Friendship Charm IV Level 4 Fury Charm I Level 1 G G. Fulgur Mail α Chest G. Fulgur Mail β Chest Geology Charm III Level 3 Gore Helm α Head Gore Helm β Head Gravios Conquerors Dual Blades Gravios Gigahowl Heavy Bowgun Gravios Lance Lance Gravios Mail α Chest Gravios Mail β Chest Graviton Hammer Hammer Gravordius Insect Glaive Great Bagpipe Hunting Horn H High Chain Blitz Light Bowgun Hirabami Vambraces α Arms Hirabami Vambraces β Arms I Iron Devil Hammer K Keen Edge Long Sword L Leaping Charm II Level 2 P Power Charm I Level 1 Princess Panoply II Gunlance Princess Rapier II Sword and Shield Princess Regalia II Insect Glaive Q Queen Blaster II Bow Queen's Longfire II Heavy Bowgun Quematrice Arco IV Bow Quematrice Cuchillo IV Sword and Shield Quematrice Culebrina IV Gunlance Quematrice Espada IV Great Sword Quematrice Lanza IV Lance Quematrice Lima IV Long Sword Quematrice Silexes IV Dual Blades R Ravager Blade Great Sword Regas Hyper Charge Blade Rompo Dendrotox Charge Blade Rompo Latrotox Heavy Bowgun Rompo Mytoxin Long Sword Rompo Robustox Hammer Rompo Tetrotox Lance S Smithy's Pride Sword and Shield Steel Assault Heavy Bowgun T Titan Panzer Light Bowgun Titan's Armament Sword and Shield Triumvirate Edge Gunlance True Dragon Perforator Bow V Valkyrie Blade II Great Sword Valkyrie Chordmaker II Hunting Horn Valkyrie Fire II Light Bowgun Veldian Arcum I Bow Veldian Ensis I Long Sword Veldian Gladius I Great Sword Veldian Harpes I Dual Blades Veldian Hasta I Gunlance Veldian Impetum I Light Bowgun Veldian Labrys I Charge Blade Veldian Lancea I Lance Veldian Malleus I Hammer Veldian Mucro I Sword and Shield Veldian Securis I Switch Axe Veldian Sibilus I Hunting Horn Veldian Tormentum I Heavy Bowgun Veldian Trudis I Insect Glaive W White Cannon Gunlance Windbrace Bow III Bow Windclaw Blade III Long Sword Windpierce Lance III Lance Windshear Light III Light Bowgun Windsunder Axe III Switch Axe Windthrash Charger III Charge Blade Wyvern Blade ""Verde"" II Long Sword","","","","Rarity 7","10","4,000 z","40,000 z"
"","Herbivore Shell","Part of a shell taken from an herbivore. Relatively sturdy for…","","","","","Blast Charm II Level 2 Botany Charm II Level 2 Doshaguma Helm Head Extension Charm I Level 1 Friendship Charm II Level 2","","","","Rarity 4","10","100 z","1,000 z"
"","Bulaqchi Shell","A Bulaqchi shell. Great for crafting thanks to its advanced durability…","","","","","Bulaqchi Specs Head Extension Charm II Level 2 Poison Charm II Level 2 Sleep Charm I Level 1 Sonic Horn I Hunting Horn Thunder Charm II Level 2","","","","Rarity 4","10","100 z","1,000 z"
"","Talioth Scale","A Talioth scale. Conditioned in harsh environments, it is built…","","","","","Bleed Charm I Level 1 Hungerless Charm II Level 2 Light Eater's Charm I Level 1 Stun Charm I Level 1 Talioth Vambraces Arms","","","","Rarity 4","10","100 z","1,000 z"
